"schema_version","source_group_id","league","display_name","edition_id","source_artifact_id","row_sha256"
"phase13-groups-v1",2014191,"A","Group A1","uefa_nations_league_2026_27","nl-2026-27-official-uefa-v2-groups","002ed43a6d55e21c3bc430d196fedda787c955124a201745c54f6e5416f6bc2a"
"phase13-groups-v1",2014192,"A","Group A2","uefa_nations_league_2026_27","nl-2026-27-official-uefa-v2-groups","d0949d751032dc566a415e511a7d6208d13f9810eadaf92d7ea7e0fdaf81bc2b"
"phase13-groups-v1",2014193,"A","Group A3","uefa_nations_league_2026_27","nl-2026-27-official-uefa-v2-groups","ce0fe38277d086fd7e0e46c4237d6034d0421e1235fecc8efd34d54d6d630fb3"
"phase13-groups-v1",2014194,"A","Group A4","uefa_nations_league_2026_27","nl-2026-27-official-uefa-v2-groups","be8416cfc1958b1046fddc9015883f491449fa666f2def11589fa024594e87fb"
"phase13-groups-v1",2014195,"B","Group B1","uefa_nations_league_2026_27","nl-2026-27-official-uefa-v2-groups","dda4b90c451309de0e81f03d78a57803e13345b5ef4af3db6820b1d2fd74559e"
"phase13-groups-v1",2014196,"B","Group B2","uefa_nations_league_2026_27","nl-2026-27-official-uefa-v2-groups","656315c1ac725127d0a758797d61562a4b3aa2feaba58e88492b94ff79d15d51"
"phase13-groups-v1",2014197,"B","Group B3","uefa_nations_league_2026_27","nl-2026-27-official-uefa-v2-groups","302e4569d76317e8672d420d291a327138b6b497c5e058f037f5b7149c9f1090"
"phase13-groups-v1",2014198,"B","Group B4","uefa_nations_league_2026_27","nl-2026-27-official-uefa-v2-groups","c139bd548cd4de7f2818334e9a03a4acd8622981d059c9ca03d30ca36b598a13"
"phase13-groups-v1",2014199,"C","Group C1","uefa_nations_league_2026_27","nl-2026-27-official-uefa-v2-groups","6b0298e80cf70c245daca17afbe80e276d8e5e4b304d37d833222c2f8af2fb61"
"phase13-groups-v1",2014200,"C","Group C2","uefa_nations_league_2026_27","nl-2026-27-official-uefa-v2-groups","e852644961f88e0843dad7260e4e7bd9d5d923a55a50912eddd0fd8cb6aa36f7"
"phase13-groups-v1",2014201,"C","Group C3","uefa_nations_league_2026_27","nl-2026-27-official-uefa-v2-groups","49e0361dbf32d77673f8174bafd168b0d00f1042c19332e2eaf989e8dec17254"
"phase13-groups-v1",2014202,"C","Group C4","uefa_nations_league_2026_27","nl-2026-27-official-uefa-v2-groups","2964671ab6768b68bc2b6acef085f61e4de884d3c850d3b1391cba58e25a2d14"
"phase13-groups-v1",2014203,"D","Group D1","uefa_nations_league_2026_27","nl-2026-27-official-uefa-v2-groups","543fbfff35702f911e56db6dc4c271aba402bedb125cf20b44f01d7f53a11a58"
"phase13-groups-v1",2014204,"D","Group D2","uefa_nations_league_2026_27","nl-2026-27-official-uefa-v2-groups","d438e5401ef1f4a175f472fbc411bdaa69e1eaad6dc33e1703838f923e4924c2"
