"identity_map_version","source_dataset","source_version","source_input_sha256","source_artifact_id","source_identity_key","source_team_id","source_display_name","normalized_source_name","team_id","fifa_code","canonical_name","aliases","mapping_method","mapping_warning","alias_review_state","identity_map_sha256","row_sha256"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:abkhazia",,"Abkhazia","abkhazia","team_abkhazia","NA","Abkhazia",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","47f88d451b981b0897fb882fbcebd9d692230a00cf3d36a486fa28ed2263e146"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:afghanistan",,"Afghanistan","afghanistan","team_afg","AFG","Afghanistan",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","8c8c4b79b752696997143786a2a1edf01ba2c52f29c3fe283a0f13cda78008fb"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:aland islands",,"Åland Islands","aland islands","team_aland_islands","NA","Åland Islands",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","502974952c0ef6dbd9af566295e1e9dc399955777d934896d69858300c982aba"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:albania",,"Albania","albania","team_alb","ALB","Albania",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","0d659c901e9b6d6e7e8cfcccbd40826716577c53423a8ad98f74d494f7e99ec2"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:alderney",,"Alderney","alderney","team_alderney","NA","Alderney",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","b306bb71c3e56e068755810e5a2c290a2a511e3b8397a2e8a57cf69e8fa4fde9"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:algeria",,"Algeria","algeria","team_alg","ALG","Algeria",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","9864672160047014ab0aca1e21e68a71b82ab455baac0c272eb499c1a7330c72"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:ambazonia",,"Ambazonia","ambazonia","team_ambazonia","NA","Ambazonia",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","479286fa3ae349265a424bb4240bf0a9e4ca1aa5443688027e830aa90ae97b99"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:american samoa",,"American Samoa","american samoa","team_american_samoa","NA","American Samoa",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","41504a1aa394fc252e3d8e3a6c05cb5a385b5dec7e9d52e27d38b6f805670a11"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:andalusia",,"Andalusia","andalusia","team_andalusia","NA","Andalusia",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","4d0e7c79e53272734c0ba7adeaca7a7352e5b662d2db217c1818e4ea1c9fb661"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:andorra",,"Andorra","andorra","team_and","AND","Andorra",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","6fff5b92e7216e023bac9d5cb54c962fd1fed7dfaba07505900509e1f32d5fbc"
