"team","fifa_code","rating","last_match_date","matches_last_year","matches_this_year"
"Scotland",NA,1208.13013005616,2026-06-24,10,7
"England","ENG",1422.27309434912,2026-06-27,10,7
"Wales","WAL",1147.40257574045,2026-06-06,10,4
"Ireland, Northern","NIR",1108.42533291265,2026-06-08,10,4
"United States","USA",1265.84352397972,2026-06-25,18,7
"Uruguay","URU",1323.4446498126,2026-06-26,10,5
"Austria","AUT",1318.28926573102,2026-06-27,10,6
"Hungary","HUN",1220.24952186616,2026-06-09,10,4
"Argentina","ARG",1573.32449945221,2026-06-27,9,7
"Belgium","BEL",1379.85781656819,2026-06-26,10,7
"France","FRA",1471.01523979537,2026-06-26,10,7
"Guernsey",NA,1399.67352731798,2023-07-13,3,4
"Jersey",NA,1481.24716590242,2025-07-18,5,3
"Netherlands","NED",1396.79054207582,2026-06-29,10,8
"Guyana","GUY",968.912040651811,2026-03-30,6,2
"Czechoslovakia",NA,1355.79822215674,1993-11-17,8,7
"Alderney",NA,677.020652071292,2022-04-23,4,2
"Switzerland","SUI",1326.45327161892,2026-06-24,10,7
"Sweden","SWE",1263.1857280348,2026-06-25,10,7
"Germany","GER",1401.50036884815,2026-06-29,10,8
"Italy","ITA",1380.47358703091,2026-06-07,10,4
"Chile","CHI",1216.6142847002,2026-06-09,10,4
"Norway","NOR",1333.3667539502,2026-06-30,10,8
"Russia","RUS",1272.69359795389,2026-06-09,10,5
"Finland","FIN",1071.58085890667,2026-06-05,10,4
"Luxembourg","LUX",952.960953547547,2026-06-06,10,2
"Denmark","DEN",1320.46085075652,2026-06-07,10,4
"Catalonia",NA,1164.03132636815,2019-03-25,1,1
"Philippines","PHI",857.526692114397,2026-06-09,5,2
"Basque Country",NA,1233.12451641883,2025-11-15,1,1
"China",NA,1040.99646184326,2026-06-09,4,5
"Brazil","BRA",1487.73078522159,2026-06-29,10,8
"Japan","JPN",1374.73765359287,2026-06-29,10,7
"Paraguay","PAR",1265.80653804614,2026-06-29,10,7
"Greece","GRE",1217.48532675832,2026-06-07,10,4
"Spain","ESP",1481.78000341381,2026-06-26,10,7
"Egypt","EGY",1272.31788749546,2026-06-26,14,11
"Suriname","SUR",1042.68627099356,2026-03-26,13,1
"Canada","CAN",1280.25614308734,2026-06-28,14,8
"Estonia","EST",960.203178667929,2026-06-09,10,4
"Costa Rica","CRC",1174.90049807179,2026-06-10,15,4
"Guatemala","GUA",1069.09760207049,2026-06-07,17,3
"Brittany",NA,998.981142759981,2013-05-28,1,1
"Poland","POL",1223.2864886583,2026-06-03,10,4
"Yugoslavia","YUG",1338.94657095136,1992-03-25,9,1
"New Zealand","NZL",1149.58292132003,2026-06-26,10,7
"Romania","ROU",1138.70586925062,2026-06-06,10,4
"Latvia","LVA",849.106178494859,2026-06-09,10,2
