"team","as_of_date","feature_source_date","squad_size","num_players_with_value","squad_value","log_squad_value","top11_value","log_top11_value","top15_value","log_top15_value","top23_value","log_top23_value","median_player_value","squad_value_concentration","top5_value_share","top11_to_top23_ratio","value_drop_11_to_23","avg_age","value_weighted_avg_age","top11_avg_age","top11_u24_value_share","top11_over30_value_share","goalkeeper_value","log_goalkeeper_value","defense_value","log_defense_value","midfield_value","log_midfield_value","attack_value","log_attack_value","top1_goalkeeper_value","log_top1_goalkeeper_value","top4_defense_value","log_top4_defense_value","top4_midfield_value","log_top4_midfield_value","top3_attack_value","log_top3_attack_value","defense_value_share","midfield_value_share","attack_value_share","squad_value_momentum_6m","squad_value_momentum_12m","top11_value_momentum_6m","top11_value_momentum_12m","total_caps","total_goals","missing_value_share"
"Afghanistan",2000-01-01,1999-12-31,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,5.95391284508328,NA,5.95391284508328,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Albania",2000-01-01,1999-12-31,183,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.52048338775373,NA,14.5536680978159,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Algeria",2000-01-01,1999-12-31,200,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.1757015742642,NA,15.6679733681787,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Andorra",2000-01-01,1999-12-31,36,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.28367176211119,NA,9.64544832306639,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Angola",2000-01-01,1999-12-31,84,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.4963658290147,NA,12.9418206707734,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Antigua and Barbuda",2000-01-01,1999-12-31,9,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.04380561259411,NA,4.04380561259411,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Argentina",2000-01-01,1999-12-31,1732,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.61259885585658,NA,19.0210938958372,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Armenia",2000-01-01,1999-12-31,88,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.01860494057619,NA,14.7425798021281,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Aruba",2000-01-01,1999-12-31,6,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,8.42345425507643,NA,8.42345425507643,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Australia",2000-01-01,1999-12-31,474,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-0.735066727892865,NA,16.5572770829444,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Austria",2000-01-01,1999-12-31,421,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.62761969948828,NA,17.9471594798084,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Azerbaijan",2000-01-01,1999-12-31,62,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.73007882360734,NA,9.32014187044988,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Bahrain",2000-01-01,1999-12-31,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.39561943874059,NA,4.39561943874059,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Bangladesh",2000-01-01,1999-12-31,38,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-0.770777045282611,NA,2.5671084562255,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Barbados",2000-01-01,1999-12-31,5,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,6.34688569472964,NA,6.34688569472964,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Belarus",2000-01-01,1999-12-31,114,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,5.15621360039386,NA,16.6177586957874,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Belgium",2000-01-01,1999-12-31,1194,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.14383461913721,NA,19.1990541970008,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Benin",2000-01-01,1999-12-31,29,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,5.44539639831009,NA,10.4483852902744,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Bermuda",2000-01-01,1999-12-31,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,6.41752224503765,NA,6.41752224503765,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
