"team","as_of_date","feature_source_date","squad_size","num_players_with_value","squad_value","log_squad_value","top11_value","log_top11_value","top15_value","log_top15_value","median_player_value","squad_value_concentration","avg_age","total_caps","total_goals","missing_value_share"
"Afghanistan","2000-01-01","1999-12-31",3,0,0,0,0,0,0,0,NA,NA,5.95391284508328,NA,NA,1
"Albania","2000-01-01","1999-12-31",183,0,0,0,0,0,0,0,NA,NA,2.52048338775373,NA,NA,1
"Algeria","2000-01-01","1999-12-31",200,0,0,0,0,0,0,0,NA,NA,4.1757015742642,NA,NA,1
"Andorra","2000-01-01","1999-12-31",36,0,0,0,0,0,0,0,NA,NA,2.28367176211119,NA,NA,1
"Angola","2000-01-01","1999-12-31",84,0,0,0,0,0,0,0,NA,NA,3.4963658290147,NA,NA,1
"Antigua and Barbuda","2000-01-01","1999-12-31",9,0,0,0,0,0,0,0,NA,NA,4.04380561259411,NA,NA,1
"Argentina","2000-01-01","1999-12-31",1732,0,0,0,0,0,0,0,NA,NA,2.61259885585658,NA,NA,1
"Armenia","2000-01-01","1999-12-31",88,0,0,0,0,0,0,0,NA,NA,4.01860494057619,NA,NA,1
"Aruba","2000-01-01","1999-12-31",6,0,0,0,0,0,0,0,NA,NA,8.42345425507643,NA,NA,1
"Australia","2000-01-01","1999-12-31",474,0,0,0,0,0,0,0,NA,NA,-0.735066727892865,NA,NA,1
"Austria","2000-01-01","1999-12-31",421,0,0,0,0,0,0,0,NA,NA,1.62761969948828,NA,NA,1
"Azerbaijan","2000-01-01","1999-12-31",62,0,0,0,0,0,0,0,NA,NA,2.73007882360734,NA,NA,1
"Bahrain","2000-01-01","1999-12-31",2,0,0,0,0,0,0,0,NA,NA,4.39561943874059,NA,NA,1
"Bangladesh","2000-01-01","1999-12-31",38,0,0,0,0,0,0,0,NA,NA,-0.770777045282611,NA,NA,1
"Barbados","2000-01-01","1999-12-31",5,0,0,0,0,0,0,0,NA,NA,6.34688569472964,NA,NA,1
"Belarus","2000-01-01","1999-12-31",114,0,0,0,0,0,0,0,NA,NA,5.15621360039386,NA,NA,1
"Belgium","2000-01-01","1999-12-31",1194,0,0,0,0,0,0,0,NA,NA,3.14383461913721,NA,NA,1
"Benin","2000-01-01","1999-12-31",29,0,0,0,0,0,0,0,NA,NA,5.44539639831009,NA,NA,1
"Bermuda","2000-01-01","1999-12-31",2,0,0,0,0,0,0,0,NA,NA,6.41752224503765,NA,NA,1
"Bolivia","2000-01-01","1999-12-31",62,0,0,0,0,0,0,0,NA,NA,0.0742310834382104,NA,NA,1
"Bonaire","2000-01-01","1999-12-31",3,0,0,0,0,0,0,0,NA,NA,-0.731006160164271,NA,NA,1
"Bosnia-Herzegovina","2000-01-01","1999-12-31",244,0,0,0,0,0,0,0,NA,NA,3.41211386766306,NA,NA,1
"Botswana","2000-01-01","1999-12-31",1,0,0,0,0,0,0,0,NA,NA,-6.08624229979466,NA,NA,1
"Brazil","2000-01-01","1999-12-31",2697,0,0,0,0,0,0,0,NA,NA,3.38560577740319,NA,NA,1
"Brunei Darussalam","2000-01-01","1999-12-31",1,0,0,0,0,0,0,0,NA,NA,1.64818617385353,NA,NA,1
"Bulgaria","2000-01-01","1999-12-31",100,0,0,0,0,0,0,0,NA,NA,5.96558521560575,NA,NA,1
"Burkina Faso","2000-01-01","1999-12-31",70,0,0,0,0,0,0,0,NA,NA,2.43093771389459,NA,NA,1
"Burundi","2000-01-01","1999-12-31",19,0,0,0,0,0,0,0,NA,NA,3.86397204510249,NA,NA,1
"Cambodia","2000-01-01","1999-12-31",24,0,0,0,0,0,0,0,NA,NA,-1.09719370294319,NA,NA,1
"Cameroon","2000-01-01","1999-12-31",246,0,0,0,0,0,0,0,NA,NA,4.63375680984736,NA,NA,1
"Canada","2000-01-01","1999-12-31",133,0,0,0,0,0,0,0,NA,NA,0.84937188968314,NA,NA,1
"Cape Verde","2000-01-01","1999-12-31",114,0,0,0,0,0,0,0,NA,NA,5.28563709067329,NA,NA,1
"Central African Republic","2000-01-01","1999-12-31",24,0,0,0,0,0,0,0,NA,NA,5.30618297969427,NA,NA,1
"Chad","2000-01-01","1999-12-31",5,0,0,0,0,0,0,0,NA,NA,5.78562628336756,NA,NA,1
"Chile","2000-01-01","1999-12-31",144,0,0,0,0,0,0,0,NA,NA,4.69982508175527,NA,NA,1
"China","2000-01-01","1999-12-31",58,0,0,0,0,0,0,0,NA,NA,2.49951615567986,NA,NA,1
"Chinese Taipei","2000-01-01","1999-12-31",38,0,0,0,0,0,0,0,NA,NA,0.784106055693648,NA,NA,1
"Colombia","2000-01-01","1999-12-31",956,0,0,0,0,0,0,0,NA,NA,0.721366405196188,NA,NA,1
"Comoros","2000-01-01","1999-12-31",66,0,0,0,0,0,0,0,NA,NA,1.25534606848775,NA,NA,1
"Congo","2000-01-01","1999-12-31",58,0,0,0,0,0,0,0,NA,NA,4.59184781325969,NA,NA,1
"Costa Rica","2000-01-01","1999-12-31",83,0,0,0,0,0,0,0,NA,NA,2.8220314522979,NA,NA,1
"Cote d'Ivoire","2000-01-01","1999-12-31",327,0,0,0,0,0,0,0,NA,NA,2.73960903993118,NA,NA,1
"Croatia","2000-01-01","1999-12-31",584,0,0,0,0,0,0,0,NA,NA,2.10632143493386,NA,NA,1
"Cuba","2000-01-01","1999-12-31",5,0,0,0,0,0,0,0,NA,NA,0.727720739219713,NA,NA,1
"Curacao","2000-01-01","1999-12-31",77,0,0,0,0,0,0,0,NA,NA,3.21946363014125,NA,NA,1
"Cyprus","2000-01-01","1999-12-31",61,0,0,0,0,0,0,0,NA,NA,3.01132168624679,NA,NA,1
"Czech Republic","2000-01-01","1999-12-31",574,0,0,0,0,0,0,0,NA,NA,1.96863873009513,NA,NA,1
"Denmark","2000-01-01","1999-12-31",1200,0,0,0,0,0,0,0,NA,NA,3.31874830606966,NA,NA,1
"Dominican Republic","2000-01-01","1999-12-31",48,0,0,0,0,0,0,0,NA,NA,-0.289584759297284,NA,NA,1
"DR Congo","2000-01-01","1999-12-31",152,0,0,0,0,0,0,0,NA,NA,5.25213444288339,NA,NA,1
"Ecuador","2000-01-01","1999-12-31",106,0,0,0,0,0,0,0,NA,NA,1.26654010563971,NA,NA,1
"Egypt","2000-01-01","1999-12-31",100,0,0,0,0,0,0,0,NA,NA,4.75728952772074,NA,NA,1
"El Salvador","2000-01-01","1999-12-31",53,0,0,0,0,0,0,0,NA,NA,1.678354190074,NA,NA,1
"England","2000-01-01","1999-12-31",1682,0,0,0,0,0,0,0,NA,NA,3.58486727039369,NA,NA,1
"Equatorial Guinea","2000-01-01","1999-12-31",23,0,0,0,0,0,0,0,NA,NA,5.00074398119216,NA,NA,1
"Eritrea","2000-01-01","1999-12-31",4,0,0,0,0,0,0,0,NA,NA,8.05407255304586,NA,NA,1
"Estonia","2000-01-01","1999-12-31",52,0,0,0,0,0,0,0,NA,NA,3.02564102564102,NA,NA,1
"Ethiopia","2000-01-01","1999-12-31",43,0,0,0,0,0,0,0,NA,NA,1.51963452875539,NA,NA,1
"Faroe Islands","2000-01-01","1999-12-31",45,0,0,0,0,0,0,0,NA,NA,2.35260476081831,NA,NA,1
"Fiji","2000-01-01","1999-12-31",3,0,0,0,0,0,0,0,NA,NA,4.84873374401095,NA,NA,1
"Finland","2000-01-01","1999-12-31",122,0,0,0,0,0,0,0,NA,NA,3.44233121262104,NA,NA,1
"France","2000-01-01","1999-12-31",1888,0,0,0,0,0,0,0,NA,NA,4.21056350468115,NA,NA,1
"French Guiana","2000-01-01","1999-12-31",8,0,0,0,0,0,0,0,NA,NA,11.0626283367556,NA,NA,1
"Gabon","2000-01-01","1999-12-31",36,0,0,0,0,0,0,0,NA,NA,5.09316297817325,NA,NA,1
"Georgia","2000-01-01","1999-12-31",137,0,0,0,0,0,0,0,NA,NA,3.97491968804489,NA,NA,1
"Germany","2000-01-01","1999-12-31",1452,0,0,0,0,0,0,0,NA,NA,4.02449292442083,NA,NA,1
"Ghana","2000-01-01","1999-12-31",380,0,0,0,0,0,0,0,NA,NA,1.97594808919325,NA,NA,1
"Gibraltar","2000-01-01","1999-12-31",30,0,0,0,0,0,0,0,NA,NA,-1.74118183892311,NA,NA,1
"Greece","2000-01-01","1999-12-31",1298,0,0,0,0,0,0,0,NA,NA,4.56506960463176,NA,NA,1
"Grenada","2000-01-01","1999-12-31",9,0,0,0,0,0,0,0,NA,NA,5.6621796334322,NA,NA,1
"Guadeloupe","2000-01-01","1999-12-31",41,0,0,0,0,0,0,0,NA,NA,7.62417989682977,NA,NA,1
"Guatemala","2000-01-01","1999-12-31",27,0,0,0,0,0,0,0,NA,NA,1.3512814662712,NA,NA,1
"Guinea","2000-01-01","1999-12-31",128,0,0,0,0,0,0,0,NA,NA,2.83812457221081,NA,NA,1
"Guinea-Bissau","2000-01-01","1999-12-31",85,0,0,0,0,0,0,0,NA,NA,3.17709868341587,NA,NA,1
"Guyana","2000-01-01","1999-12-31",10,0,0,0,0,0,0,0,NA,NA,1.75715263518138,NA,NA,1
"Haiti","2000-01-01","1999-12-31",40,0,0,0,0,0,0,0,NA,NA,3.51266255989049,NA,NA,1
"Honduras","2000-01-01","1999-12-31",66,0,0,0,0,0,0,0,NA,NA,4.01352332358493,NA,NA,1
"Hongkong","2000-01-01","1999-12-31",36,0,0,0,0,0,0,0,NA,NA,3.40147539736862,NA,NA,1
"Hungary","2000-01-01","1999-12-31",135,0,0,0,0,0,0,0,NA,NA,4.43442593860116,NA,NA,1
"Iceland","2000-01-01","1999-12-31",126,0,0,0,0,0,0,0,NA,NA,4.06086285757744,NA,NA,1
"India","2000-01-01","1999-12-31",21,0,0,0,0,0,0,0,NA,NA,1.37531371206936,NA,NA,1
"Indonesia","2000-01-01","1999-12-31",38,0,0,0,0,0,0,0,NA,NA,0.470117799632551,NA,NA,1
"Iran","2000-01-01","1999-12-31",56,0,0,0,0,0,0,0,NA,NA,4.64984844040286,NA,NA,1
"Iraq","2000-01-01","1999-12-31",66,0,0,0,0,0,0,0,NA,NA,1.02943189596167,NA,NA,1
