"team","player_pool_feature_source_date","player_pool_value","player_pool_top11_value","player_pool_top23_value","player_pool_num_players_with_value","player_pool_missing_value_share","raw_national_team_name","raw_country_name","national_team_value","national_team_squad_size","national_team_fifa_ranking","pool_to_national_ratio","log_pool_minus_national","abs_log_divergence","status"
"Brazil",2026-07-02,3727965000,8.1e+08,1.243e+09,1615,0.401186503522432,"Brazil","Brazil",778500000,24,6,4.78865125240848,1.56624879505906,1.56624879505906,"review"
"Germany",2026-07-02,2773965000,7.35e+08,1.096e+09,1332,0.0826446280991736,"Germany","Germany",773500000,25,10,3.58625080801551,1.27710731269039,1.27710731269039,"review"
"Netherlands",2026-07-02,2337600000,6.73e+08,1.024e+09,1350,0.131832797427653,"Netherlands","Netherlands",7.66e+08,25,7,3.05169712793734,1.11569787037815,1.11569787037815,"review"
"Saudi Arabia",2026-07-02,9075000,8675000,9075000,17,0.96551724137931,"Saudi Arabia","Saudi Arabia",27629999,23,61,0.328447351735337,-1.11337864859158,1.11337864859158,"review"
"Portugal",2026-07-02,2369545000,7.15e+08,1.109e+09,1107,0.122125297383029,"Portugal","Portugal",864500000,26,5,2.74094274146906,1.00830192671763,1.00830192671763,"warn"
"Scotland",2026-07-02,523780000,2.14e+08,281500000,810,0.20666013712047,"Scotland","Scotland",198149994,26,43,2.64335107676057,0.972047456338395,0.972047456338395,"warn"
"Mexico",2026-07-02,207675000,1.32e+08,177500000,60,0.888059701492537,"Mexico","Mexico",79800003,12,15,2.60244351118633,0.956450807959275,0.956450807959275,"warn"
"Belgium",2026-07-02,1382020000,4.07e+08,6.33e+08,1002,0.160804020100503,"Belgium","Belgium",534200012,25,9,2.5870834312149,0.950531151715193,0.950531151715193,"warn"
"Jordan",2026-07-02,6600000,6600000,6600000,4,0.911111111111111,"Jordan","Jordan",15980000,26,63,0.413016270337922,-0.884268202368828,0.884268202368828,"warn"
"Argentina",2026-07-02,1819595000,6.85e+08,9.59e+08,608,0.648960739030023,"Argentina","Argentina",761200012,29,3,2.39042954718188,0.871473075884683,0.871473075884683,"warn"
"Ghana",2026-07-02,437095000,243500000,306700000,269,0.292105263157895,"Ghana","Ghana",199279999,25,74,2.1933711470964,0.78543969410778,0.78543969410778,"warn"
"Sweden",2026-07-02,771150000,4.72e+08,575500000,293,0.616492146596859,"Sweden","Sweden",363980011,26,38,2.11866030192521,0.750783954425284,0.750783954425284,"warn"
"Iran",2026-07-02,48800000,30300000,41750000,47,0.160714285714286,"Iran","Iran",23080000,31,21,2.11438474870017,0.748763848383451,0.748763848383451,"warn"
"Croatia",2026-07-02,592970000,2.8e+08,365500000,313,0.464041095890411,"Croatia","Croatia",283299988,26,11,2.09308162766318,0.738637441176824,0.738637441176824,"warn"
"Turkey",2026-07-02,906740000,3.33e+08,447500000,1881,0.137155963302752,"Turkiye","Türkiye",435200012,27,22,2.0835017807858,0.73405002539387,0.73405002539387,"warn"
"Cape Verde",2026-07-02,80800000,5.2e+07,63150000,96,0.157894736842105,NA,NA,NA,NA,NA,NA,NA,NA,"missing_raw_national_team"
"Curaçao",2026-07-02,39700000,2.4e+07,30975000,71,0.0779220779220779,NA,NA,NA,NA,NA,NA,NA,NA,"missing_raw_national_team"
"DR Congo",2026-07-02,201235000,113500000,149500000,138,0.0921052631578947,NA,NA,NA,NA,NA,NA,NA,NA,"missing_raw_national_team"
"England",2026-07-02,4755955000,1.075e+09,1.665e+09,1469,0.126634958382878,"England","England",NA,35,4,NA,NA,NA,"missing_raw_national_team"
"France",2026-07-02,4503180000,1.04e+09,1.63e+09,1636,0.133474576271186,"France","France",NA,25,1,NA,NA,NA,"missing_raw_national_team"
"Haiti",2026-07-02,57150000,53500000,56300000,33,0.175,NA,NA,NA,NA,NA,NA,NA,NA,"missing_raw_national_team"
"Ivory Coast",2026-07-02,670700000,3.37e+08,467500000,254,0.223241590214067,NA,NA,NA,NA,NA,NA,NA,NA,"missing_raw_national_team"
"Spain",2026-07-02,3936940000,7.2e+08,1.165e+09,1952,0.100046104195482,"Spain","Spain",NA,27,2,NA,NA,NA,"missing_raw_national_team"
"Uruguay",2026-07-02,670430000,4.29e+08,5.22e+08,190,0.446064139941691,"Uruguay","Uruguay",362450012,28,17,1.84971714113228,0.615032729447666,0.615032729447666,"ok"
"Morocco",2026-07-02,830830000,3.54e+08,5.18e+08,285,0.221311475409836,"Morocco","Morocco",4.56e+08,29,8,1.82199561403509,0.599932390619976,0.599932390619976,"ok"
"Iraq",2026-07-02,10600000,9175000,10600000,18,0.727272727272727,"Iraq","Iraq",19180000,28,57,0.552659019812304,-0.593014026135293,0.593014026135293,"ok"
"Australia",2026-07-02,89950000,37700000,51750000,130,0.725738396624473,"Australia","Australia",51230000,26,27,1.75580714425142,0.562928654042906,0.562928654042906,"ok"
"Tunisia",2026-07-02,90010000,5.2e+07,68600000,97,0.204918032786885,"Tunisia","Tunisia",52299999,29,44,1.72103253768705,0.542924415307994,0.542924415307994,"ok"
"Panama",2026-07-02,19875000,19375000,19875000,15,0.754098360655738,"Panama","Panama",32400002,23,33,0.61342588806013,-0.488695804536015,0.488695804536015,"ok"
"Austria",2026-07-02,427625000,2.25e+08,319500000,169,0.598574821852732,"Austria","Austria",263399994,28,24,1.62348143409601,0.48457287530962,0.48457287530962,"ok"
"Japan",2026-07-02,428450000,2.06e+08,304500000,144,0.843986998916576,"Japan","Japan",264200012,27,18,1.62168804140705,0.483467606155752,0.483467606155752,"ok"
"United States",2026-07-02,571125000,3.04e+08,4.25e+08,170,0.723127035830619,"United States","United States",356700012,27,16,1.60113535404086,0.47071297282433,0.47071297282433,"ok"
"Qatar",2026-07-02,12075000,12075000,12075000,11,0.796296296296296,"Qatar","Qatar",18299999,25,55,0.659836101630388,-0.415763777493005,0.415763777493005,"ok"
"Algeria",2026-07-02,338150000,1.94e+08,253800000,162,0.19,"Algeria","Algeria",227750000,26,28,1.4847420417124,0.395241046447367,0.395241046447367,"ok"
"Colombia",2026-07-02,445375000,2.35e+08,317500000,177,0.814853556485356,"Colombia","Colombia",300500000,26,13,1.48211314475874,0.393468868868251,0.393468868868251,"ok"
"Canada",2026-07-02,1.83e+08,158500000,175550000,64,0.518796992481203,"Canada","Canada",129380005,26,30,1.41443803468704,0.346732301315047,0.346732301315047,"ok"
"Norway",2026-07-02,696650000,4.84e+08,5.5e+08,196,0.653097345132743,"Norway","Norway",5.04e+08,24,31,1.38224206349206,0.323706863939549,0.323706863939549,"ok"
"Bosnia and Herzegovina",2026-07-02,172410000,89200000,115800000,165,0.323770491803279,"Bosnia-Herzegovina","Bosnia-Herzegovina",125599998,23,65,1.37269110466069,0.316773120915574,0.316773120915574,"ok"
"Switzerland",2026-07-02,437075000,2.48e+08,321200000,170,0.575,"Switzerland","Switzerland",322100006,26,19,1.35695433672237,0.305242729302115,0.305242729302115,"ok"
"New Zealand",2026-07-02,29550000,24050000,28825000,29,0.723809523809524,"New Zealand","New Zealand",22200001,23,85,1.33108102112248,0.285991398724736,0.285991398724736,"ok"
"Senegal",2026-07-02,625755000,3.27e+08,435500000,321,0.213235294117647,"Senegal","Senegal",4.74e+08,28,14,1.3201582278481,0.277751598484755,0.277751598484755,"ok"
"Egypt",2026-07-02,137850000,1.24e+08,133400000,53,0.47,"Egypt","Egypt",1.08e+08,26,29,1.27638888888889,0.244034908340588,0.244034908340588,"ok"
"Czech Republic",2026-07-02,217525000,130500000,171500000,150,0.738675958188153,"Czech Republic","Czech Republic",171500000,25,43,1.26836734693878,0.237730518612359,0.237730518612359,"ok"
"Paraguay",2026-07-02,156575000,1.14e+08,1.45e+08,64,0.564625850340136,"Paraguay","Paraguay",134699997,25,40,1.1623979471952,0.150485066229685,0.150485066229685,"ok"
"South Africa",2026-07-02,36475000,24950000,31275000,51,0.595238095238095,"South Africa","South Africa",41150002,23,60,0.886391208437851,-0.1205968782022,0.1205968782022,"ok"
"Korea Republic",2026-07-02,126175000,99500000,115575000,49,0.919672131147541,"South Korea","Korea, South",136750000,26,25,0.922669104204753,-0.0804846084628785,0.0804846084628785,"ok"
"Uzbekistan",2026-07-02,61625000,56200000,61425000,26,0.551724137931034,"Uzbekistan","Uzbekistan",63750000,26,50,0.966666666666667,-0.0339015511347753,0.0339015511347753,"ok"
"Ecuador",2026-07-02,356225000,286500000,334100000,57,0.462264150943396,"Ecuador","Ecuador",366730011,32,23,0.971354918646132,-0.0290633587079938,0.0290633587079938,"ok"
