"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral","source_match_id","source_match_id_method"
"1872-11-30","Scotland","England",0,0,"Friendly","Glasgow","Scotland",FALSE,"martj42-ns-5baf20e19e0a6a3bf845526ae25e696448f5881ccd2a0057f01cf2e10637e366","non_score_hash"
"1873-03-08","England","Scotland",4,2,"Friendly","London","England",FALSE,"martj42-ns-7e0c8e2b2accdef9b2447a2c8c63e47194fcaebffde088b287bf93fbd99c5daf","non_score_hash"
"1874-03-07","Scotland","England",2,1,"Friendly","Glasgow","Scotland",FALSE,"martj42-ns-38146ca06e5267582a63c4b0582da9b62ca0568e42c609b45ac4c124e5e3e7d6","non_score_hash"
"1875-03-06","England","Scotland",2,2,"Friendly","London","England",FALSE,"martj42-ns-4ba1fb700e189e24aa7f57f0b1d928213f6a5f3dc58e473b62094e13152fc87f","non_score_hash"
"1876-03-04","Scotland","England",3,0,"Friendly","Glasgow","Scotland",FALSE,"martj42-ns-7b7609db559709053f099f4508c92c48c7cdbb857084c290862669f344e92d1f","non_score_hash"
"1876-03-25","Scotland","Wales",4,0,"Friendly","Glasgow","Scotland",FALSE,"martj42-ns-f27bc4bbbc212cb15be035b159bf69161fdcf713a7aa9d10a27a9d0aa9f489f3","non_score_hash"
"1877-03-03","England","Scotland",1,3,"Friendly","London","England",FALSE,"martj42-ns-26e89ecb03d39601cb564111b2656e6daaf62d7585d53e7ee78e1d144683cf1d","non_score_hash"
"1877-03-05","Wales","Scotland",0,2,"Friendly","Wrexham","Wales",FALSE,"martj42-ns-ce80699457ac9341aab4d7a7cfee14059e78e8b4a95c7165fca296a283764c44","non_score_hash"
"1878-03-02","Scotland","England",7,2,"Friendly","Glasgow","Scotland",FALSE,"martj42-ns-5ff8fcccaf43dc694d58a129ea7e52ff3e10735c53cb7900594a924080690930","non_score_hash"
"1878-03-23","Scotland","Wales",9,0,"Friendly","Glasgow","Scotland",FALSE,"martj42-ns-60021e9888b3aed0fc8178594b72de0b5e8988305a6453350fc9879751c9f83a","non_score_hash"
