"source_name","canonical_name","fifa_code","alt_names"
"Scotland","Scotland",NA,""
"England","England","ENG",""
"Wales","Wales","WAL",""
"Northern Ireland","Ireland, Northern","NIR",""
"United States","United States","USA",""
"Uruguay","Uruguay","URU",""
"Austria","Austria","AUT",""
"Hungary","Hungary","HUN",""
"Argentina","Argentina","ARG",""
"Belgium","Belgium","BEL",""
"France","France","FRA",""
"Guernsey","Guernsey",NA,""
"Jersey","Jersey",NA,""
"Netherlands","Netherlands","NED",""
"Guyana","Guyana","GUY",""
"Czechoslovakia","Czechoslovakia",NA,""
"Alderney","Alderney",NA,""
"Switzerland","Switzerland","SUI",""
"Sweden","Sweden","SWE",""
"Germany","Germany","GER",""
"Italy","Italy","ITA",""
"Chile","Chile","CHI",""
"Norway","Norway","NOR",""
"Russia","Russia","RUS",""
"Finland","Finland","FIN",""
"Luxembourg","Luxembourg","LUX",""
"Denmark","Denmark","DEN",""
"Catalonia","Catalonia",NA,""
"Philippines","Philippines","PHI",""
"Basque Country","Basque Country",NA,""
"China PR","China PR","CHN",""
"Brazil","Brazil","BRA",""
"Japan","Japan","JPN",""
"Paraguay","Paraguay","PAR",""
"Greece","Greece","GRE",""
"Spain","Spain","ESP",""
"Egypt","Egypt","EGY",""
"Suriname","Suriname","SUR",""
"Canada","Canada","CAN",""
"Estonia","Estonia","EST",""
"Costa Rica","Costa Rica","CRC",""
"Guatemala","Guatemala","GUA",""
"Brittany","Brittany",NA,""
"Poland","Poland","POL",""
"Yugoslavia","Yugoslavia","YUG",""
"New Zealand","New Zealand","NZL",""
"Romania","Romania","ROU",""
"Latvia","Latvia","LVA",""
"Galicia","Galicia",NA,""
"Portugal","Portugal","POR",""
"Andalusia","Andalusia",NA,""
"Australia","Australia","AUS",""
"Lithuania","Lithuania","LTU",""
"Turkey","Turkey","TUR",""
"Central Spain","Central Spain",NA,""
"Mexico","Mexico","MEX",""
"Aruba","Aruba",NA,""
"Republic of Ireland","Republic of Ireland",NA,""
