match_id,group,matchday,home_team,away_team,date,kickoff_local,venue_name,host_city,host_country,source
GA01,A,1,Mexico,South Africa,2026-06-11,13:00,Estadio Azteca,Mexico City,Mexico,FourFourTwo 2026-06-05
GA02,A,1,Korea Republic,Czech Republic,2026-06-11,20:00,Estadio Akron,Zapopan,Mexico,FourFourTwo 2026-06-05
GA03,A,2,Czech Republic,South Africa,2026-06-18,12:00,Mercedes-Benz Stadium,Atlanta,United States,FourFourTwo 2026-06-05
GA04,A,2,Mexico,Korea Republic,2026-06-18,19:00,Estadio Akron,Zapopan,Mexico,FourFourTwo 2026-06-05
GA05,A,3,Czech Republic,Mexico,2026-06-24,19:00,Estadio Azteca,Mexico City,Mexico,FourFourTwo 2026-06-05
GA06,A,3,South Africa,Korea Republic,2026-06-24,19:00,Estadio BBVA,Guadalupe,Mexico,FourFourTwo 2026-06-05
GB01,B,1,Canada,Bosnia and Herzegovina,2026-06-12,15:00,BMO Field,Toronto,Canada,FourFourTwo 2026-06-05
GB02,B,1,Qatar,Switzerland,2026-06-13,12:00,Levi's Stadium,Santa Clara,United States,FourFourTwo 2026-06-05
GB03,B,2,Switzerland,Bosnia and Herzegovina,2026-06-18,12:00,SoFi Stadium,Inglewood,United States,FourFourTwo 2026-06-05
GB04,B,2,Canada,Qatar,2026-06-18,15:00,BC Place,Vancouver,Canada,FourFourTwo 2026-06-05
GB05,B,3,Switzerland,Canada,2026-06-24,12:00,BC Place,Vancouver,Canada,FourFourTwo 2026-06-05
GB06,B,3,Bosnia and Herzegovina,Qatar,2026-06-24,12:00,Lumen Field,Seattle,United States,FourFourTwo 2026-06-05
GC01,C,1,Brazil,Morocco,2026-06-13,18:00,Gillette Stadium,Foxborough,United States,FourFourTwo 2026-06-05
GC02,C,1,Haiti,Scotland,2026-06-13,21:00,MetLife Stadium,East Rutherford,United States,FourFourTwo 2026-06-05
GC03,C,2,Scotland,Morocco,2026-06-19,18:00,Lincoln Financial Field,Philadelphia,United States,FourFourTwo 2026-06-05
GC04,C,2,Brazil,Haiti,2026-06-19,21:00,Gillette Stadium,Foxborough,United States,FourFourTwo 2026-06-05
GC05,C,3,Scotland,Brazil,2026-06-24,18:00,Hard Rock Stadium,Miami Gardens,United States,FourFourTwo 2026-06-05
GC06,C,3,Morocco,Haiti,2026-06-24,18:00,Mercedes-Benz Stadium,Atlanta,United States,FourFourTwo 2026-06-05
GD01,D,1,United States,Paraguay,2026-06-12,18:00,SoFi Stadium,Inglewood,United States,FourFourTwo 2026-06-05
GD02,D,1,Australia,Turkey,2026-06-13,21:00,BC Place,Vancouver,Canada,FourFourTwo 2026-06-05
