group,position,team,display_team,fifa_code
A,1,Mexico,Mexico,MEX
A,2,South Africa,South Africa,RSA
A,3,Korea Republic,South Korea,KOR
A,4,Czech Republic,Czechia,CZE
B,1,Canada,Canada,CAN
B,2,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH
B,3,Qatar,Qatar,QAT
B,4,Switzerland,Switzerland,SUI
C,1,Brazil,Brazil,BRA
C,2,Morocco,Morocco,MAR
C,3,Haiti,Haiti,HAI
C,4,Scotland,Scotland,SCO
D,1,United States,United States,USA
D,2,Paraguay,Paraguay,PAR
D,3,Australia,Australia,AUS
D,4,Turkey,Turkiye,TUR
E,1,Germany,Germany,GER
E,2,Curaçao,Curacao,CUW
E,3,Ivory Coast,Cote d'Ivoire,CIV
E,4,Ecuador,Ecuador,ECU
F,1,Netherlands,Netherlands,NED
F,2,Japan,Japan,JPN
F,3,Tunisia,Tunisia,TUN
F,4,Sweden,Sweden,SWE
G,1,Belgium,Belgium,BEL
G,2,Egypt,Egypt,EGY
G,3,Iran,Iran,IRN
G,4,New Zealand,New Zealand,NZL
H,1,Spain,Spain,ESP
H,2,Cape Verde,Cape Verde,CPV
H,3,Saudi Arabia,Saudi Arabia,KSA
H,4,Uruguay,Uruguay,URU
I,1,France,France,FRA
I,2,Senegal,Senegal,SEN
I,3,Norway,Norway,NOR
I,4,Iraq,Iraq,IRQ
J,1,Argentina,Argentina,ARG
J,2,Algeria,Algeria,ALG
J,3,Austria,Austria,AUT
J,4,Jordan,Jordan,JOR
K,1,Portugal,Portugal,POR
K,2,Uzbekistan,Uzbekistan,UZB
K,3,Colombia,Colombia,COL
K,4,DR Congo,DR Congo,COD
L,1,England,England,ENG
L,2,Croatia,Croatia,CRO
L,3,Ghana,Ghana,GHA
L,4,Panama,Panama,PAN
