"group","team","display_team","fifa_code","group_win_probability","top_two_probability","third_place_qual_probability","round_of_32_probability","position_1_probability","position_2_probability","position_3_probability","position_4_probability","most_likely_position","projected_position"
"A","Mexico","Mexico","MEX",0.4571,0.73894,0.13478,0.87372,0.4571,0.28184,0.17196,0.0891,1,1
"A","Korea Republic","South Korea","KOR",0.27685,0.57901,0.18073,0.75974,0.27685,0.30216,0.25141,0.16958,2,2
"A","Czech Republic","Czechia","CZE",0.18369,0.43995,0.20616,0.64611,0.18369,0.25626,0.303,0.25705,3,3
"A","South Africa","South Africa","RSA",0.08236,0.2421,0.17023,0.41233,0.08236,0.15974,0.27363,0.48427,4,4
"B","Switzerland","Switzerland","SUI",0.47276,0.78453,0.11648,0.90101,0.47276,0.31177,0.14899,0.06648,1,1
"B","Canada","Canada","CAN",0.37637,0.72584,0.13871,0.86455,0.37637,0.34947,0.1859,0.08826,1,2
"B","Bosnia and Herzegovina","Bosnia and Herzegovina","BIH",0.07774,0.25037,0.19699,0.44736,0.07774,0.17263,0.33523,0.4144,4,3
"B","Qatar","Qatar","QAT",0.07313,0.23926,0.19173,0.43099,0.07313,0.16613,0.32988,0.43086,4,4
"C","Brazil","Brazil","BRA",0.55085,0.83989,0.09426,0.93415,0.55085,0.28904,0.11703,0.04308,1,1
"C","Morocco","Morocco","MAR",0.32357,0.70566,0.14705,0.85271,0.32357,0.38209,0.20218,0.09216,2,2
"C","Scotland","Scotland","SCO",0.07385,0.25859,0.20823,0.46682,0.07385,0.18474,0.35836,0.38305,4,3
"C","Haiti","Haiti","HAI",0.05173,0.19586,0.1755,0.37136,0.05173,0.14413,0.32243,0.48171,4,4
"D","Turkey","Turkiye","TUR",0.32543,0.59268,0.16495,0.75763,0.32543,0.26725,0.22182,0.1855,1,1
"D","United States","United States","USA",0.23651,0.48471,0.18247,0.66718,0.23651,0.2482,0.25545,0.25984,4,2
"D","Australia","Australia","AUS",0.23277,0.4817,0.18418,0.66588,0.23277,0.24893,0.25789,0.26041,4,3
