"match_id","stage","group","matchday","date","home_team","away_team","home_display","away_display","kickoff_local","venue_name","host_city","host_country","is_completed","match_status","actual_home_goals","actual_away_goals","actual_score","home_goals_expected","away_goals_expected","win_probability","draw_probability","loss_probability","predicted_outcome","most_likely_score","most_likely_score_probability","rounded_expected_score","over_2_5_probability","under_2_5_probability","both_teams_to_score_probability"
"GA01","group","A",1,"2026-06-11","Mexico","South Africa","Mexico","South Africa","13:00","Estadio Azteca","Mexico City","Mexico",TRUE,"final",2,0,"2-0",2,0,1,0,0,"home_win","2-0",1,"2-0",0,1,0
"GA02","group","A",1,"2026-06-11","Korea Republic","Czech Republic","South Korea","Czechia","20:00","Estadio Akron","Zapopan","Mexico",TRUE,"final",2,1,"2-1",2,1,1,0,0,"home_win","2-1",1,"2-1",1,0,1
"GA03","group","A",2,"2026-06-18","Czech Republic","South Africa","Czechia","South Africa","12:00","Mercedes-Benz Stadium","Atlanta","United States",FALSE,"scheduled",NA,NA,NA,1.41468532949171,1.24871420024117,0.410572929893162,0.25156076033225,0.337866309774588,"home_win","1-0",0.105681784732144,"1-1",0.479651540973725,0.520348459026275,0.483484263499284
"GA04","group","A",2,"2026-06-18","Mexico","Korea Republic","Mexico","South Korea","19:00","Estadio Akron","Zapopan","Mexico",FALSE,"scheduled",NA,NA,NA,1.40817309253726,1.25477952794994,0.407936920333686,0.251701300998084,0.34036177866823,"home_win","1-1",0.105426239847464,"1-1",0.479545293445746,0.520454706554254,0.483625563951988
"GA05","group","A",3,"2026-06-24","Czech Republic","Mexico","Czechia","Mexico","19:00","Estadio Azteca","Mexico City","Mexico",FALSE,"scheduled",NA,NA,NA,1.05605480883664,1.67196814527295,0.259229852350749,0.24056230020493,0.500207847444321,"away_win","0-1",0.111700623803538,"1-2",0.491809499016838,0.508190500983163,0.475152468884845
"GA06","group","A",3,"2026-06-24","South Africa","Korea Republic","South Africa","South Korea","19:00","Estadio BBVA","Guadalupe","Mexico",FALSE,"scheduled",NA,NA,NA,1.05100890030504,1.67977171425735,0.257041358754823,0.240062778991228,0.502895862253949,"away_win","0-1",0.111917963643843,"1-2",0.492347941820649,0.507652058179351,0.474767032044857
"GB01","group","B",1,"2026-06-12","Canada","Bosnia and Herzegovina","Canada","Bosnia and Herzegovina","15:00","BMO Field","Toronto","Canada",TRUE,"final",1,1,"1-1",1,1,0,1,0,"draw","1-1",1,"1-1",0,1,1
"GB02","group","B",1,"2026-06-13","Qatar","Switzerland","Qatar","Switzerland","12:00","Levi's Stadium","Santa Clara","United States",TRUE,"final",1,1,"1-1",1,1,0,1,0,"draw","1-1",1,"1-1",0,1,1
"GB03","group","B",2,"2026-06-18","Switzerland","Bosnia and Herzegovina","Switzerland","Bosnia and Herzegovina","12:00","SoFi Stadium","Inglewood","United States",FALSE,"scheduled",NA,NA,NA,1.91720825257439,0.92062045393413,0.58476405950413,0.219484845999608,0.195751094496262,"home_win","1-0",0.118329589317339,"2-1",0.516049562167189,0.483950437832811,0.462675941046818
"GB04","group","B",2,"2026-06-18","Canada","Qatar","Canada","Qatar","15:00","BC Place","Vancouver","Canada",FALSE,"scheduled",NA,NA,NA,1.96135735226073,0.902884287348753,0.59698079623146,0.215594285887208,0.187424917881333,"home_win","1-0",0.118168650545514,"2-1",0.521359037737092,0.478640962262908,0.460935679186738
"GB05","group","B",3,"2026-06-24","Switzerland","Canada","Switzerland","Canada","12:00","BC Place","Vancouver","Canada",FALSE,"scheduled",NA,NA,NA,1.34879997871462,1.30960529572933,0.384110764117962,0.252668175508892,0.363221060373147,"home_win","1-1",0.105819414568579,"1-1",0.478439155760803,0.521560844239198,0.484025248811092
"GB06","group","B",3,"2026-06-24","Bosnia and Herzegovina","Qatar","Bosnia and Herzegovina","Qatar","12:00","Lumen Field","Seattle","United States",FALSE,"scheduled",NA,NA,NA,1.37918458010751,1.28360481139598,0.395908353619849,0.252129497687045,0.351962148693106,"home_win","1-1",0.1056167198221,"1-1",0.479463326908701,0.520536673091299,0.484372676480201
"GC01","group","C",1,"2026-06-13","Brazil","Morocco","Brazil","Morocco","18:00","Gillette Stadium","Foxborough","United States",TRUE,"final",1,1,"1-1",1,1,0,1,0,"draw","1-1",1,"1-1",0,1,1
"GC02","group","C",1,"2026-06-13","Haiti","Scotland","Haiti","Scotland","21:00","MetLife Stadium","East Rutherford","United States",TRUE,"final",0,1,"0-1",0,1,0,0,1,"away_win","0-1",1,"0-1",0,1,0
"GC03","group","C",2,"2026-06-19","Scotland","Morocco","Scotland","Morocco","18:00","Lincoln Financial Field","Philadelphia","United States",FALSE,"scheduled",NA,NA,NA,0.881891350995248,1.99918064404491,0.183367701622578,0.215177484728564,0.601454813648858,"away_win","0-1",0.116413100012822,"1-2",0.521299023404557,0.478700976595444,0.456791492703858
"GC04","group","C",2,"2026-06-19","Brazil","Haiti","Brazil","Haiti","21:00","Gillette Stadium","Foxborough","United States",FALSE,"scheduled",NA,NA,NA,2.17496592404743,0.816150520553532,0.653658155546625,0.196164408917134,0.150177435536241,"home_win","1-0",0.117083305919572,"2-1",0.546033016046327,0.453966983953674,0.447942407268243
"GC05","group","C",3,"2026-06-24","Scotland","Brazil","Scotland","Brazil","18:00","Hard Rock Stadium","Miami Gardens","United States",FALSE,"scheduled",NA,NA,NA,0.857341725840719,2.0613057084798,0.172405320999329,0.209759117371107,0.617835561629563,"away_win","0-1",0.116281326865711,"1-2",0.528396669035692,0.471603330964307,0.453510849818747
"GC06","group","C",3,"2026-06-24","Morocco","Haiti","Morocco","Haiti","18:00","Mercedes-Benz Stadium","Atlanta","United States",FALSE,"scheduled",NA,NA,NA,2.10602454120119,0.838222529923094,0.637128239097802,0.202460907008392,0.160410853893806,"home_win","1-0",0.118094228998284,"2-1",0.536991442477008,0.463008557522991,0.450948591942019
"GD01","group","D",1,"2026-06-12","United States","Paraguay","United States","Paraguay","18:00","SoFi Stadium","Inglewood","United States",TRUE,"final",4,1,"4-1",4,1,1,0,0,"home_win","4-1",1,"4-1",1,0,1
"GD02","group","D",1,"2026-06-13","Australia","Turkey","Australia","Turkiye","21:00","BC Place","Vancouver","Canada",TRUE,"final",2,0,"2-0",2,0,1,0,0,"home_win","2-0",1,"2-0",0,1,0
"GD03","group","D",2,"2026-06-19","Turkey","Paraguay","Turkiye","Paraguay","21:00","Levi's Stadium","Santa Clara","United States",FALSE,"scheduled",NA,NA,NA,1.58074496689871,1.11852941441339,0.47351610506969,0.244586432553249,0.28189746237706,"home_win","1-0",0.112308696648525,"2-1",0.487483189793131,0.512516810206869,0.479527473584248
"GD04","group","D",2,"2026-06-19","United States","Australia","United States","Australia","12:00","Lumen Field","Seattle","United States",FALSE,"scheduled",NA,NA,NA,1.24894069528543,1.41421729705878,0.342638021759881,0.252021264547796,0.405340713692322,"away_win","1-1",0.105516849830503,"1-1",0.479144463203527,0.520855536796472,0.483333577074031
"GD05","group","D",3,"2026-06-25","Turkey","United States","Turkiye","United States","19:00","SoFi Stadium","Inglewood","United States",FALSE,"scheduled",NA,NA,NA,1.30958466030702,1.34988940972892,0.367819163248905,0.252702185201013,0.379478651550083,"away_win","1-1",0.105830176985835,"1-1",0.478565237321922,0.521434762678078,0.484173066754088
"GD06","group","D",3,"2026-06-25","Paraguay","Australia","Paraguay","Australia","19:00","Levi's Stadium","Santa Clara","United States",FALSE,"scheduled",NA,NA,NA,1.03468516500696,1.70625493290637,0.249867608423841,0.238302329304204,0.511830062271955,"away_win","0-1",0.112572755756793,"1-2",0.494340950415875,0.505659049584125,0.473537614410376
"GE01","group","E",1,"2026-06-14","Ivory Coast","Ecuador","Cote d'Ivoire","Ecuador","19:00","Lincoln Financial Field","Philadelphia","United States",TRUE,"final",1,0,"1-0",1,0,1,0,0,"home_win","1-0",1,"1-0",0,1,0
"GE02","group","E",1,"2026-06-14","Germany","Curaçao","Germany","Curacao","12:00","NRG Stadium","Houston","United States",TRUE,"final",7,1,"7-1",7,1,1,0,0,"home_win","7-1",1,"7-1",1,0,1
"GE03","group","E",2,"2026-06-20","Germany","Ivory Coast","Germany","Cote d'Ivoire","16:00","BMO Field","Toronto","Canada",FALSE,"scheduled",NA,NA,NA,1.54309222126154,1.14542899082829,0.459748857542473,0.246611349041195,0.293639793416332,"home_win","1-0",0.111070139493795,"2-1",0.485175810278611,0.514824189721388,0.480685806408283
"GE04","group","E",2,"2026-06-20","Ecuador","Curaçao","Ecuador","Curacao","19:00","Arrowhead Stadium","Kansas City","United States",FALSE,"scheduled",NA,NA,NA,2.17652162715675,0.812813862929784,0.654635403005322,0.195976511814284,0.149388085180394,"home_win","1-0",0.117345552009996,"2-1",0.545654536777115,0.454345463222885,0.446898762012408
