"group","current_position","team","display_team","fifa_code","played","wins","draws","losses","goals_for","goals_against","goal_difference","points"
"A",1,"Mexico","Mexico","MEX",3,3,0,0,6,0,6,9
"A",2,"South Africa","South Africa","RSA",3,1,1,1,2,3,-1,4
"A",3,"Korea Republic","South Korea","KOR",3,1,0,2,2,3,-1,3
"A",4,"Czech Republic","Czechia","CZE",3,0,1,2,2,6,-4,1
"B",1,"Switzerland","Switzerland","SUI",3,2,1,0,7,3,4,7
"B",2,"Canada","Canada","CAN",3,1,1,1,8,3,5,4
"B",3,"Bosnia and Herzegovina","Bosnia and Herzegovina","BIH",3,1,1,1,5,6,-1,4
"B",4,"Qatar","Qatar","QAT",3,0,1,2,2,10,-8,1
"C",1,"Brazil","Brazil","BRA",3,2,1,0,7,1,6,7
"C",2,"Morocco","Morocco","MAR",3,2,1,0,6,3,3,7
"C",3,"Scotland","Scotland","SCO",3,1,0,2,1,4,-3,3
"C",4,"Haiti","Haiti","HAI",3,0,0,3,2,8,-6,0
"D",1,"United States","United States","USA",3,2,0,1,8,4,4,6
"D",2,"Australia","Australia","AUS",3,1,1,1,2,2,0,4
"D",3,"Paraguay","Paraguay","PAR",3,1,1,1,2,4,-2,4
"D",4,"Turkey","Turkiye","TUR",3,1,0,2,3,5,-2,3
"E",1,"Germany","Germany","GER",3,2,0,1,10,4,6,6
"E",2,"Ivory Coast","Cote d'Ivoire","CIV",3,2,0,1,4,2,2,6
"E",3,"Ecuador","Ecuador","ECU",3,1,1,1,2,2,0,4
"E",4,"Curaçao","Curacao","CUW",3,0,1,2,1,9,-8,1
"F",1,"Netherlands","Netherlands","NED",3,2,1,0,10,4,6,7
"F",2,"Japan","Japan","JPN",3,1,2,0,7,3,4,5
"F",3,"Sweden","Sweden","SWE",3,1,1,1,7,7,0,4
"F",4,"Tunisia","Tunisia","TUN",3,0,0,3,2,12,-10,0
"G",1,"Belgium","Belgium","BEL",3,1,2,0,6,2,4,5
"G",2,"Egypt","Egypt","EGY",3,1,2,0,5,3,2,5
"G",3,"Iran","Iran","IRN",3,0,3,0,3,3,0,3
"G",4,"New Zealand","New Zealand","NZL",3,0,1,2,4,10,-6,1
"H",1,"Spain","Spain","ESP",3,2,1,0,5,0,5,7
"H",2,"Cape Verde","Cape Verde","CPV",3,0,3,0,2,2,0,3
"H",3,"Uruguay","Uruguay","URU",3,0,2,1,3,4,-1,2
"H",4,"Saudi Arabia","Saudi Arabia","KSA",3,0,2,1,1,5,-4,2
"I",1,"France","France","FRA",3,3,0,0,10,2,8,9
"I",2,"Norway","Norway","NOR",3,2,0,1,8,7,1,6
"I",3,"Senegal","Senegal","SEN",3,1,0,2,8,6,2,3
"I",4,"Iraq","Iraq","IRQ",3,0,0,3,1,12,-11,0
"J",1,"Argentina","Argentina","ARG",2,2,0,0,5,0,5,6
"J",2,"Austria","Austria","AUT",2,1,0,1,3,3,0,3
"J",3,"Algeria","Algeria","ALG",2,1,0,1,2,4,-2,3
"J",4,"Jordan","Jordan","JOR",2,0,0,2,2,5,-3,0
"K",1,"Colombia","Colombia","COL",2,2,0,0,4,1,3,6
"K",2,"Portugal","Portugal","POR",2,1,1,0,6,1,5,4
"K",3,"DR Congo","DR Congo","COD",2,0,1,1,1,2,-1,1
"K",4,"Uzbekistan","Uzbekistan","UZB",2,0,0,2,1,8,-7,0
"L",1,"England","England","ENG",2,1,1,0,4,2,2,4
"L",2,"Ghana","Ghana","GHA",2,1,1,0,1,0,1,4
"L",3,"Croatia","Croatia","CRO",2,1,0,1,3,4,-1,3
"L",4,"Panama","Panama","PAN",2,0,0,2,0,2,-2,0
