"date","team","display_team","group","fifa_code","rating","match_id","is_post_match"
2026-06-11,"Algeria","Algeria","J","ALG",1327.00070324413,"tournament_start",FALSE
2026-06-16,"Algeria","Algeria","J","ALG",1321.27246486362,"Argentina_Algeria_2026-06-16",TRUE
2026-06-22,"Algeria","Algeria","J","ALG",1325.67385187187,"Jordan_Algeria_2026-06-22",TRUE
2026-06-27,"Algeria","Algeria","J","ALG",1327.12986970653,"Algeria_Austria_2026-06-27",TRUE
2026-07-02,"Algeria","Algeria","J","ALG",1315.30539557789,"Switzerland_Algeria_2026-07-02",TRUE
2026-07-18,"Algeria","Algeria","J","ALG",1315.30539557789,"tournament_end",TRUE
2026-06-11,"Argentina","Argentina","J","ARG",1550.29667893704,"tournament_start",FALSE
2026-06-16,"Argentina","Argentina","J","ARG",1561.38545612551,"Argentina_Algeria_2026-06-16",TRUE
2026-06-22,"Argentina","Argentina","J","ARG",1572.16101886952,"Argentina_Austria_2026-06-22",TRUE
2026-06-27,"Argentina","Argentina","J","ARG",1573.30725638233,"Jordan_Argentina_2026-06-27",TRUE
2026-07-03,"Argentina","Argentina","J","ARG",1575.63509545905,"Argentina_Cape Verde_2026-07-03",TRUE
2026-07-07,"Argentina","Argentina","J","ARG",1579.47898016441,"Argentina_Egypt_2026-07-07",TRUE
2026-07-11,"Argentina","Argentina","J","ARG",1584.692247519,"Argentina_Switzerland_2026-07-11",TRUE
2026-07-15,"Argentina","Argentina","J","ARG",1589.39183487863,"England_Argentina_2026-07-15",TRUE
2026-07-18,"Argentina","Argentina","J","ARG",1589.39183487863,"tournament_end",TRUE
2026-06-11,"Australia","Australia","D","AUS",1276.1899998849,"tournament_start",FALSE
2026-06-13,"Australia","Australia","D","AUS",1302.20240909431,"Australia_Turkey_2026-06-13",TRUE
2026-06-19,"Australia","Australia","D","AUS",1292.8400605452,"United States_Australia_2026-06-19",TRUE
2026-06-25,"Australia","Australia","D","AUS",1290.15312015725,"Paraguay_Australia_2026-06-25",TRUE
2026-07-03,"Australia","Australia","D","AUS",1291.21977779682,"Australia_Egypt_2026-07-03",TRUE
2026-07-18,"Australia","Australia","D","AUS",1291.21977779682,"tournament_end",TRUE
2026-06-11,"Austria","Austria","J","AUT",1315.71249034884,"tournament_start",FALSE
2026-06-16,"Austria","Austria","J","AUT",1330.87213698853,"Austria_Jordan_2026-06-16",TRUE
2026-06-22,"Austria","Austria","J","AUT",1319.8582679725,"Argentina_Austria_2026-06-22",TRUE
2026-06-27,"Austria","Austria","J","AUT",1318.22060102648,"Algeria_Austria_2026-06-27",TRUE
2026-07-02,"Austria","Austria","J","AUT",1311.02245937442,"Spain_Austria_2026-07-02",TRUE
2026-07-18,"Austria","Austria","J","AUT",1311.02245937442,"tournament_end",TRUE
2026-06-11,"Belgium","Belgium","G","BEL",1379.07890616935,"tournament_start",FALSE
2026-06-15,"Belgium","Belgium","G","BEL",1375.62645984153,"Belgium_Egypt_2026-06-15",TRUE
2026-06-21,"Belgium","Belgium","G","BEL",1376.61941819133,"Belgium_Iran_2026-06-21",TRUE
2026-06-26,"Belgium","Belgium","G","BEL",1379.79315683133,"New Zealand_Belgium_2026-06-26",TRUE
2026-07-01,"Belgium","Belgium","G","BEL",1390.03870533782,"Belgium_Senegal_2026-07-01",TRUE
2026-07-06,"Belgium","Belgium","G","BEL",1398.23823715936,"United States_Belgium_2026-07-06",TRUE
2026-07-10,"Belgium","Belgium","G","BEL",1389.22343427191,"Spain_Belgium_2026-07-10",TRUE
2026-07-18,"Belgium","Belgium","G","BEL",1389.22343427191,"tournament_end",TRUE
2026-06-11,"Bosnia and Herzegovina","Bosnia and Herzegovina","B","BIH",1092.97980593899,"tournament_start",FALSE
2026-06-12,"Bosnia and Herzegovina","Bosnia and Herzegovina","B","BIH",1105.42453852733,"Canada_Bosnia and Herzegovina_2026-06-12",TRUE
2026-06-18,"Bosnia and Herzegovina","Bosnia and Herzegovina","B","BIH",1099.26031239036,"Switzerland_Bosnia and Herzegovina_2026-06-18",TRUE
2026-06-24,"Bosnia and Herzegovina","Bosnia and Herzegovina","B","BIH",1110.47080302268,"Bosnia and Herzegovina_Qatar_2026-06-24",TRUE
