"group","team","display_team","fifa_code","group_win_probability","top_two_probability","third_place_qual_probability","round_of_32_probability","position_1_probability","position_2_probability","position_3_probability","position_4_probability","most_likely_position","projected_position","display_position"
"A","Mexico","Mexico","MEX",1,1,0,1,1,0,0,0,1,1,1
"A","Korea Republic","South Korea","KOR",0,0.73729,0.15153,0.88882,0,0.73729,0.19706,0.06565,2,2,2
"A","South Africa","South Africa","RSA",0,0.2097,0.05426,0.26396,0,0.2097,0.22962,0.56068,4,3,3
"A","Czech Republic","Czechia","CZE",0,0.05301,0.20954,0.26255,0,0.05301,0.57332,0.37367,3,4,4
"B","Canada","Canada","CAN",0.62568,0.99929,0.00071,1,0.62568,0.37361,0.00071,0,1,2,1
"B","Switzerland","Switzerland","SUI",0.37432,0.99927,0.00073,1,0.37432,0.62495,0.00073,0,2,1,2
"B","Bosnia and Herzegovina","Bosnia and Herzegovina","BIH",0,0.00071,0.4075,0.40821,0,0.00071,0.65682,0.34247,3,3,3
"B","Qatar","Qatar","QAT",0,0.00073,0.34086,0.34159,0,0.00073,0.34174,0.65753,4,4,4
"C","Brazil","Brazil","BRA",0.63487,0.86077,0.13923,1,0.63487,0.2259,0.13923,0,1,2,2
"C","Morocco","Morocco","MAR",0.30864,0.9762,0.0238,1,0.30864,0.66756,0.0238,0,2,1,1
"C","Scotland","Scotland","SCO",0.05649,0.16303,0.63446,0.79749,0.05649,0.10654,0.83697,0,3,3,3
"C","Haiti","Haiti","HAI",0,0,0,0,0,0,0,1,4,4,4
"D","United States","United States","USA",1,1,0,1,1,0,0,0,1,1,1
"D","Australia","Australia","AUS",0,0.71585,0.22281,0.93866,0,0.71585,0.28415,0,2,2,2
"D","Paraguay","Paraguay","PAR",0,0.28415,0.46114,0.74529,0,0.28415,0.71585,0,3,3,3
"D","Turkey","Turkiye","TUR",0,0,0,0,0,0,0,1,4,4,4
"E","Germany","Germany","GER",1,1,0,1,1,0,0,0,1,1,1
"E","Ivory Coast","Cote d'Ivoire","CIV",0,0.8391,0.09146,0.93056,0,0.8391,0.11593,0.04497,2,2,2
"E","Ecuador","Ecuador","ECU",0,0.04495,0.24256,0.28751,0,0.04495,0.74022,0.21483,3,3,3
"E","Curaçao","Curacao","CUW",0,0.11595,0.04474,0.16069,0,0.11595,0.14385,0.7402,4,4,4
"F","Netherlands","Netherlands","NED",0.49209,0.98692,0.01308,1,0.49209,0.49483,0.01308,0,2,1,1
"F","Japan","Japan","JPN",0.42486,0.81234,0.18766,1,0.42486,0.38748,0.18766,0,1,2,2
"F","Sweden","Sweden","SWE",0.08305,0.20074,0.69678,0.89752,0.08305,0.11769,0.79926,0,3,3,3
"F","Tunisia","Tunisia","TUN",0,0,0,0,0,0,0,1,4,4,4
"G","Egypt","Egypt","EGY",0.53969,0.75232,0.24766,0.99998,0.53969,0.21263,0.24768,0,1,1,1
"G","Belgium","Belgium","BEL",0.18838,0.70693,0.12192,0.82885,0.18838,0.51855,0.15056,0.14251,2,2,2
"G","Iran","Iran","IRN",0.27193,0.43797,0.22098,0.65895,0.27193,0.16604,0.50194,0.06009,3,3,3
"G","New Zealand","New Zealand","NZL",0,0.10278,0.06795,0.17073,0,0.10278,0.09982,0.7974,4,4,4
"H","Spain","Spain","ESP",0.76477,0.90119,0.09881,1,0.76477,0.13642,0.09881,0,1,1,1
"H","Cape Verde","Cape Verde","CPV",0.05645,0.58905,0.10375,0.6928,0.05645,0.5326,0.18418,0.22677,2,2,2
"H","Uruguay","Uruguay","URU",0.17878,0.27067,0.20362,0.47429,0.17878,0.09189,0.63618,0.09315,3,3,3
"H","Saudi Arabia","Saudi Arabia","KSA",0,0.23909,0.07027,0.30936,0,0.23909,0.08083,0.68008,4,4,4
"I","France","France","FRA",0.72406,1,0,1,0.72406,0.27594,0,0,1,1,1
"I","Norway","Norway","NOR",0.27594,1,0,1,0.27594,0.72406,0,0,2,2,2
"I","Senegal","Senegal","SEN",0,0,0.51624,0.51624,0,0,0.79619,0.20381,3,3,3
"I","Iraq","Iraq","IRQ",0,0,0.07541,0.07541,0,0,0.20381,0.79619,4,4,4
"J","Argentina","Argentina","ARG",1,1,0,1,1,0,0,0,1,1,1
"J","Austria","Austria","AUT",0,0.59334,0.32375,0.91709,0,0.59334,0.40666,0,2,3,3
"J","Algeria","Algeria","ALG",0,0.40666,0.42372,0.83038,0,0.40666,0.59334,0,3,2,2
"J","Jordan","Jordan","JOR",0,0,0,0,0,0,0,1,4,4,4
"K","Portugal","Portugal","POR",0.51489,0.91432,0.08568,1,0.51489,0.39943,0.08568,0,1,2,2
"K","Colombia","Colombia","COL",0.42399,0.78788,0.19441,0.98229,0.42399,0.36389,0.21212,0,1,1,1
"K","DR Congo","DR Congo","COD",0.06112,0.2978,0.30131,0.59911,0.06112,0.23668,0.4276,0.2746,3,3,3
"K","Uzbekistan","Uzbekistan","UZB",0,0,0.08829,0.08829,0,0,0.2746,0.7254,4,4,4
"L","England","England","ENG",0.72649,0.99741,0.00259,1,0.72649,0.27092,0.00259,0,1,1,1
"L","Ghana","Ghana","GHA",0.11794,0.49258,0.5072,0.99978,0.11794,0.37464,0.50742,0,3,2,2
"L","Croatia","Croatia","CRO",0.15557,0.51001,0.42359,0.9336,0.15557,0.35444,0.48999,0,3,3,3
"L","Panama","Panama","PAN",0,0,0,0,0,0,0,1,4,4,4
