"sample","view","target","metric","cut_type","cut_value","n_scored","n_official","coverage","estimate","lower","upper"
"exploratory","first_valid","btts","btts_brier","confidence","high",17,104,0.163461538461538,0.238625401154922,0.211759300499514,0.266235834756143
"exploratory","first_valid","btts","btts_brier","confidence","low",24,104,0.230769230769231,0.25324149178119,0.246274454283884,0.259808296180826
"exploratory","first_valid","btts","btts_brier","confidence","medium",38,104,0.365384615384615,0.250722577946556,0.241607920794721,0.260059125886701
"exploratory","first_valid","btts","btts_brier","outcome_class","away",26,104,0.25,0.248356860084965,0.234312435860485,0.262183737144355
"exploratory","first_valid","btts","btts_brier","outcome_class","draw",15,104,0.144230769230769,0.248087729604936,0.233155610919727,0.261813863281206
"exploratory","first_valid","btts","btts_brier","outcome_class","home",38,104,0.365384615384615,0.24956029679127,0.238736713427723,0.260835217423532
"exploratory","first_valid","btts","btts_brier","overall","all",79,104,0.759615384615385,0.248884627650017,0.241233139063494,0.257158856200685
"exploratory","first_valid","btts","btts_brier","stage","group",49,52,0.942307692307692,0.244627663561225,0.234113331802449,0.254846844036037
"exploratory","first_valid","btts","btts_brier","stage","knockout",30,31,0.967741935483871,0.255837668995046,0.244327656669048,0.267281509994711
"exploratory","first_valid","btts","btts_log_loss","confidence","high",17,104,0.163461538461538,0.670399804870438,0.618118908097235,0.723785266706478
"exploratory","first_valid","btts","btts_log_loss","confidence","low",24,104,0.230769230769231,0.699632830406159,0.686396876296316,0.713287537891059
"exploratory","first_valid","btts","btts_log_loss","confidence","medium",38,104,0.365384615384615,0.694587263631063,0.675558286963396,0.7130690945461
"exploratory","first_valid","btts","btts_log_loss","outcome_class","away",26,104,0.25,0.689874532684796,0.662099947605184,0.717117923153692
"exploratory","first_valid","btts","btts_log_loss","outcome_class","draw",15,104,0.144230769230769,0.689262184946854,0.659014276410126,0.716982860112293
"exploratory","first_valid","btts","btts_log_loss","outcome_class","home",38,104,0.365384615384615,0.692279737013635,0.66831435732545,0.715721989769166
"exploratory","first_valid","btts","btts_log_loss","overall","all",79,104,0.759615384615385,0.690915197854755,0.67549688143827,0.70669415200658
"exploratory","first_valid","btts","btts_log_loss","stage","group",49,52,0.942307692307692,0.682357046703014,0.662945503169422,0.701496540897655
"exploratory","first_valid","btts","btts_log_loss","stage","knockout",30,31,0.967741935483871,0.704893511402599,0.681096882340471,0.728946152667444
"exploratory","first_valid","goals","away_xg_absolute_error","confidence","high",17,104,0.163461538461538,0.740798968955361,0.558719243494642,0.914234837708367
"exploratory","first_valid","goals","away_xg_absolute_error","confidence","low",24,104,0.230769230769231,0.837614914364662,0.639947959686967,1.03685008898209
