"match_id","stage","round","fixture_date","home_team","away_team","actual_home_goals","actual_away_goals","actual_winner_team","pair_key","kickoff_utc","result_event_id","result_source_path","result_status","home_key","away_key","winner_key"
"GA01","group","Group A",2026-06-11,"Mexico","South Africa",2,0,"Mexico","mexico|south africa","2026-06-11T19:00Z","760415","data/raw/espn/scoreboard_20260611.json","STATUS_FULL_TIME","mexico","south africa","mexico"
"GA02","group","Group A",2026-06-11,"Korea Republic","Czech Republic",2,1,"Korea Republic","czech republic|korea republic","2026-06-12T02:00Z","760414","data/raw/espn/scoreboard_20260611.json","STATUS_FULL_TIME","korea republic","czech republic","korea republic"
"GB01","group","Group B",2026-06-12,"Canada","Bosnia and Herzegovina",1,1,NA,"bosnia and herzegovina|canada","2026-06-12T19:00Z","760416","data/raw/espn/scoreboard_20260612.json","STATUS_FULL_TIME","canada","bosnia and herzegovina",NA
"GD01","group","Group D",2026-06-12,"United States","Paraguay",4,1,"United States","paraguay|united states","2026-06-13T01:00Z","760417","data/raw/espn/scoreboard_20260612.json","STATUS_FULL_TIME","united states","paraguay","united states"
"GB02","group","Group B",2026-06-13,"Qatar","Switzerland",1,1,NA,"qatar|switzerland","2026-06-13T19:00Z","760420","data/raw/espn/scoreboard_20260613.json","STATUS_FULL_TIME","qatar","switzerland",NA
"GC01","group","Group C",2026-06-13,"Brazil","Morocco",1,1,NA,"brazil|morocco","2026-06-13T22:00Z","760419","data/raw/espn/scoreboard_20260613.json","STATUS_FULL_TIME","brazil","morocco",NA
"GC02","group","Group C",2026-06-13,"Haiti","Scotland",0,1,"Scotland","haiti|scotland","2026-06-14T01:00Z","760418","data/raw/espn/scoreboard_20260613.json","STATUS_FULL_TIME","haiti","scotland","scotland"
"GD02","group","Group D",2026-06-13,"Australia","Turkey",2,0,"Australia","australia|turkey","2026-06-14T04:00Z","760421","data/raw/espn/scoreboard_20260614.json","STATUS_FULL_TIME","australia","turkey","australia"
"GE02","group","Group E",2026-06-14,"Germany","Curaçao",7,1,"Germany","curacao|germany","2026-06-14T17:00Z","760422","data/raw/espn/scoreboard_20260614.json","STATUS_FULL_TIME","germany","curacao","germany"
"GF01","group","Group F",2026-06-14,"Netherlands","Japan",2,2,NA,"japan|netherlands","2026-06-14T20:00Z","760425","data/raw/espn/scoreboard_20260614.json","STATUS_FULL_TIME","netherlands","japan",NA
"GE01","group","Group E",2026-06-14,"Ivory Coast","Ecuador",1,0,"Ivory Coast","cote d ivoire|ecuador","2026-06-14T23:00Z","760423","data/raw/espn/scoreboard_20260614.json","STATUS_FULL_TIME","cote d ivoire","ecuador","cote d ivoire"
"GF02","group","Group F",2026-06-14,"Sweden","Tunisia",5,1,"Sweden","sweden|tunisia","2026-06-15T02:00Z","760424","data/raw/espn/scoreboard_20260614.json","STATUS_FULL_TIME","sweden","tunisia","sweden"
"GH02","group","Group H",2026-06-15,"Spain","Cape Verde",0,0,NA,"cape verde|spain","2026-06-15T16:00Z","760428","data/raw/espn/scoreboard_20260615.json","STATUS_FULL_TIME","spain","cape verde",NA
"GG02","group","Group G",2026-06-15,"Belgium","Egypt",1,1,NA,"belgium|egypt","2026-06-15T19:00Z","760426","data/raw/espn/scoreboard_20260615.json","STATUS_FULL_TIME","belgium","egypt",NA
"GH01","group","Group H",2026-06-15,"Saudi Arabia","Uruguay",1,1,NA,"saudi arabia|uruguay","2026-06-15T22:00Z","760429","data/raw/espn/scoreboard_20260615.json","STATUS_FULL_TIME","saudi arabia","uruguay",NA
"GG01","group","Group G",2026-06-15,"Iran","New Zealand",2,2,NA,"iran|new zealand","2026-06-16T01:00Z","760427","data/raw/espn/scoreboard_20260615.json","STATUS_FULL_TIME","iran","new zealand",NA
"GI01","group","Group I",2026-06-16,"France","Senegal",3,1,"France","france|senegal","2026-06-16T19:00Z","760432","data/raw/espn/scoreboard_20260616.json","STATUS_FULL_TIME","france","senegal","france"
"GI02","group","Group I",2026-06-16,"Iraq","Norway",1,4,"Norway","iraq|norway","2026-06-16T22:00Z","760430","data/raw/espn/scoreboard_20260616.json","STATUS_FULL_TIME","iraq","norway","norway"
"GJ01","group","Group J",2026-06-16,"Argentina","Algeria",3,0,"Argentina","algeria|argentina","2026-06-17T01:00Z","760433","data/raw/espn/scoreboard_20260616.json","STATUS_FULL_TIME","argentina","algeria","argentina"
"GJ02","group","Group J",2026-06-16,"Austria","Jordan",3,1,"Austria","austria|jordan","2026-06-17T04:00Z","760431","data/raw/espn/scoreboard_20260617.json","STATUS_FULL_TIME","austria","jordan","austria"
"GK01","group","Group K",2026-06-17,"Portugal","DR Congo",1,1,NA,"dr congo|portugal","2026-06-17T17:00Z","760435","data/raw/espn/scoreboard_20260617.json","STATUS_FULL_TIME","portugal","dr congo",NA
"GL02","group","Group L",2026-06-17,"England","Croatia",4,2,"England","croatia|england","2026-06-17T20:00Z","760437","data/raw/espn/scoreboard_20260617.json","STATUS_FULL_TIME","england","croatia","england"
"GL01","group","Group L",2026-06-17,"Ghana","Panama",1,0,"Ghana","ghana|panama","2026-06-17T23:00Z","760434","data/raw/espn/scoreboard_20260617.json","STATUS_FULL_TIME","ghana","panama","ghana"
"GK02","group","Group K",2026-06-17,"Uzbekistan","Colombia",1,3,"Colombia","colombia|uzbekistan","2026-06-18T02:00Z","760436","data/raw/espn/scoreboard_20260617.json","STATUS_FULL_TIME","uzbekistan","colombia","colombia"
"GA03","group","Group A",2026-06-18,"Czech Republic","South Africa",1,1,NA,"czech republic|south africa","2026-06-18T16:00Z","760438","data/raw/espn/scoreboard_20260618.json","STATUS_FULL_TIME","czech republic","south africa",NA
"GB03","group","Group B",2026-06-18,"Switzerland","Bosnia and Herzegovina",4,1,"Switzerland","bosnia and herzegovina|switzerland","2026-06-18T19:00Z","760439","data/raw/espn/scoreboard_20260618.json","STATUS_FULL_TIME","switzerland","bosnia and herzegovina","switzerland"
"GB04","group","Group B",2026-06-18,"Canada","Qatar",6,0,"Canada","canada|qatar","2026-06-18T22:00Z","760440","data/raw/espn/scoreboard_20260618.json","STATUS_FULL_TIME","canada","qatar","canada"
"GA04","group","Group A",2026-06-18,"Mexico","Korea Republic",1,0,"Mexico","korea republic|mexico","2026-06-19T01:00Z","760441","data/raw/espn/scoreboard_20260618.json","STATUS_FULL_TIME","mexico","korea republic","mexico"
"GD04","group","Group D",2026-06-19,"United States","Australia",2,0,"United States","australia|united states","2026-06-19T19:00Z","760442","data/raw/espn/scoreboard_20260619.json","STATUS_FULL_TIME","united states","australia","united states"
"GC03","group","Group C",2026-06-19,"Scotland","Morocco",0,1,"Morocco","morocco|scotland","2026-06-19T22:00Z","760445","data/raw/espn/scoreboard_20260619.json","STATUS_FULL_TIME","scotland","morocco","morocco"
"GC04","group","Group C",2026-06-19,"Brazil","Haiti",3,0,"Brazil","brazil|haiti","2026-06-20T00:30Z","760444","data/raw/espn/scoreboard_20260619.json","STATUS_FULL_TIME","brazil","haiti","brazil"
"GD03","group","Group D",2026-06-19,"Turkey","Paraguay",0,1,"Paraguay","paraguay|turkey","2026-06-20T03:00Z","760443","data/raw/espn/scoreboard_20260619.json","STATUS_FULL_TIME","turkey","paraguay","paraguay"
"GF03","group","Group F",2026-06-20,"Netherlands","Sweden",5,1,"Netherlands","netherlands|sweden","2026-06-20T17:00Z","760447","data/raw/espn/scoreboard_20260620.json","STATUS_FULL_TIME","netherlands","sweden","netherlands"
"GE03","group","Group E",2026-06-20,"Germany","Ivory Coast",2,1,"Germany","cote d ivoire|germany","2026-06-20T20:00Z","760448","data/raw/espn/scoreboard_20260620.json","STATUS_FULL_TIME","germany","cote d ivoire","germany"
"GE04","group","Group E",2026-06-20,"Ecuador","Curaçao",0,0,NA,"curacao|ecuador","2026-06-21T00:00Z","760446","data/raw/espn/scoreboard_20260620.json","STATUS_FULL_TIME","ecuador","curacao",NA
"GF04","group","Group F",2026-06-20,"Tunisia","Japan",0,4,"Japan","japan|tunisia","2026-06-21T04:00Z","760449","data/raw/espn/scoreboard_20260621.json","STATUS_FULL_TIME","tunisia","japan","japan"
"GH04","group","Group H",2026-06-21,"Spain","Saudi Arabia",4,0,"Spain","saudi arabia|spain","2026-06-21T16:00Z","760453","data/raw/espn/scoreboard_20260621.json","STATUS_FULL_TIME","spain","saudi arabia","spain"
"GG03","group","Group G",2026-06-21,"Belgium","Iran",0,0,NA,"belgium|iran","2026-06-21T19:00Z","760451","data/raw/espn/scoreboard_20260621.json","STATUS_FULL_TIME","belgium","iran",NA
"GH03","group","Group H",2026-06-21,"Uruguay","Cape Verde",2,2,NA,"cape verde|uruguay","2026-06-21T22:00Z","760450","data/raw/espn/scoreboard_20260621.json","STATUS_FULL_TIME","uruguay","cape verde",NA
"GG04","group","Group G",2026-06-21,"New Zealand","Egypt",1,3,"Egypt","egypt|new zealand","2026-06-22T01:00Z","760452","data/raw/espn/scoreboard_20260621.json","STATUS_FULL_TIME","new zealand","egypt","egypt"
"GJ03","group","Group J",2026-06-22,"Argentina","Austria",2,0,"Argentina","argentina|austria","2026-06-22T17:00Z","760456","data/raw/espn/scoreboard_20260622.json","STATUS_FULL_TIME","argentina","austria","argentina"
"GI04","group","Group I",2026-06-22,"France","Iraq",3,0,"France","france|iraq","2026-06-22T21:00Z","760457","data/raw/espn/scoreboard_20260622.json","STATUS_FULL_TIME","france","iraq","france"
"GI03","group","Group I",2026-06-22,"Norway","Senegal",3,2,"Norway","norway|senegal","2026-06-23T00:00Z","760454","data/raw/espn/scoreboard_20260622.json","STATUS_FULL_TIME","norway","senegal","norway"
"GJ04","group","Group J",2026-06-22,"Jordan","Algeria",1,2,"Algeria","algeria|jordan","2026-06-23T03:00Z","760455","data/raw/espn/scoreboard_20260622.json","STATUS_FULL_TIME","jordan","algeria","algeria"
"GK03","group","Group K",2026-06-23,"Portugal","Uzbekistan",5,0,"Portugal","portugal|uzbekistan","2026-06-23T17:00Z","760461","data/raw/espn/scoreboard_20260623.json","STATUS_FULL_TIME","portugal","uzbekistan","portugal"
"GL03","group","Group L",2026-06-23,"England","Ghana",0,0,NA,"england|ghana","2026-06-23T20:00Z","760458","data/raw/espn/scoreboard_20260623.json","STATUS_FULL_TIME","england","ghana",NA
"GL04","group","Group L",2026-06-23,"Panama","Croatia",0,1,"Croatia","croatia|panama","2026-06-23T23:00Z","760460","data/raw/espn/scoreboard_20260623.json","STATUS_FULL_TIME","panama","croatia","croatia"
