"match_id","stage","round","kickoff_utc","home_team","away_team","strict","exploratory","status"
"GA01","group","Group A","2026-06-11T19:00Z","Mexico","South Africa",FALSE,FALSE,"missing_or_rejected"
"GA02","group","Group A","2026-06-12T02:00Z","Korea Republic","Czech Republic",FALSE,FALSE,"missing_or_rejected"
"GA03","group","Group A","2026-06-18T16:00Z","Czech Republic","South Africa",TRUE,TRUE,"verified"
"GA04","group","Group A","2026-06-19T01:00Z","Mexico","Korea Republic",TRUE,TRUE,"verified"
"GA05","group","Group A","2026-06-25T01:00Z","Czech Republic","Mexico",TRUE,TRUE,"verified"
"GA06","group","Group A","2026-06-25T01:00Z","South Africa","Korea Republic",TRUE,TRUE,"verified"
"GB01","group","Group B","2026-06-12T19:00Z","Canada","Bosnia and Herzegovina",FALSE,FALSE,"missing_or_rejected"
"GB02","group","Group B","2026-06-13T19:00Z","Qatar","Switzerland",FALSE,FALSE,"missing_or_rejected"
"GB03","group","Group B","2026-06-18T19:00Z","Switzerland","Bosnia and Herzegovina",TRUE,TRUE,"verified"
"GB04","group","Group B","2026-06-18T22:00Z","Canada","Qatar",TRUE,TRUE,"verified"
"GB05","group","Group B","2026-06-24T19:00Z","Switzerland","Canada",TRUE,TRUE,"verified"
"GB06","group","Group B","2026-06-24T19:00Z","Bosnia and Herzegovina","Qatar",TRUE,TRUE,"verified"
"GC01","group","Group C","2026-06-13T22:00Z","Brazil","Morocco",FALSE,FALSE,"missing_or_rejected"
"GC02","group","Group C","2026-06-14T01:00Z","Haiti","Scotland",FALSE,FALSE,"missing_or_rejected"
"GC03","group","Group C","2026-06-19T22:00Z","Scotland","Morocco",TRUE,TRUE,"verified"
"GC04","group","Group C","2026-06-20T00:30Z","Brazil","Haiti",TRUE,TRUE,"verified"
"GC05","group","Group C","2026-06-24T22:00Z","Scotland","Brazil",TRUE,TRUE,"verified"
"GC06","group","Group C","2026-06-24T22:00Z","Morocco","Haiti",TRUE,TRUE,"verified"
"GD01","group","Group D","2026-06-13T01:00Z","United States","Paraguay",FALSE,FALSE,"missing_or_rejected"
"GD02","group","Group D","2026-06-14T04:00Z","Australia","Turkey",FALSE,FALSE,"missing_or_rejected"
"GD03","group","Group D","2026-06-20T03:00Z","Turkey","Paraguay",TRUE,TRUE,"verified"
"GD04","group","Group D","2026-06-19T19:00Z","United States","Australia",TRUE,TRUE,"verified"
"GD05","group","Group D","2026-06-26T02:00Z","Turkey","United States",TRUE,TRUE,"verified"
"GD06","group","Group D","2026-06-26T02:00Z","Paraguay","Australia",TRUE,TRUE,"verified"
"GE01","group","Group E","2026-06-14T23:00Z","Ivory Coast","Ecuador",FALSE,FALSE,"missing_or_rejected"
"GE02","group","Group E","2026-06-14T17:00Z","Germany","Curaçao",FALSE,FALSE,"missing_or_rejected"
"GE03","group","Group E","2026-06-20T20:00Z","Germany","Ivory Coast",TRUE,TRUE,"verified"
"GE04","group","Group E","2026-06-21T00:00Z","Ecuador","Curaçao",TRUE,TRUE,"verified"
"GE05","group","Group E","2026-06-25T20:00Z","Curaçao","Ivory Coast",TRUE,TRUE,"verified"
"GE06","group","Group E","2026-06-25T20:00Z","Ecuador","Germany",TRUE,TRUE,"verified"
"GF01","group","Group F","2026-06-14T20:00Z","Netherlands","Japan",FALSE,FALSE,"missing_or_rejected"
