"match_id","forecast_scope","home_team","away_team","expected_home_goals","expected_away_goals","p_home","p_draw","p_away","p_home_advance","p_away_advance","p_over_2_5","p_btts","most_likely_score","generated_at_raw","feature_cutoff_date","result_cutoff_date","forecast_source","commit_sha","author_at","committed_at","parent_shas","archive_path","archive_blob","dashboard_blob","feature_blob","home_model_blob","away_model_blob","generated_at_utc","forecast_revision_id","kickoff_utc","canonical_home_team","canonical_away_team","stage","round","actual_home_goals","actual_away_goals","actual_winner_team","fixture_identity_match","source_cutoff_proven","artifact_complete","validation_flags","primary_reason","evidence_tier","strict_eligible","exploratory_eligible","sample","view"
"GA03","group","Czech Republic","South Africa",1.4147425198834,1.24872193048147,0.410587677939011,0.251556520667682,0.337855801393306,NA,NA,0.479668963835648,0.483503861913344,"1-0","2026-06-17 10:47:40.048038","2026-06-16","2026-06-17","dashboard_archive","2be8fd292dda3918b17851e1d95560495209e053","2026-06-17T10:58:58+02:00","2026-06-17T10:58:58+02:00","f3f91f4bac2c668bbfae9994924258d062be6459","outputs/dashboard/worldcup_prematch_forecasts.csv","9dfa957f68362c0bf919c3c14ad2de9dbe139d63","334265c6492a15d958292bcd5aefd1e2af95c8f5","1e671ec372e0c71281e81ef7708f8c88551e1234","248fc586a6612d687368505db0e368f51a1ede5f","7abb748fbc63e60abc7eedb24bda56a859a4d10c","2026-06-17T08:47:40Z","78ae7009c969b4300718c5ac29c62961e753fe1a3c5bfbf2f0fa518500a3b34a","2026-06-18T16:00Z","Czech Republic","South Africa","group","Group A",1,1,NA,TRUE,TRUE,TRUE,"",NA,"verified",TRUE,FALSE,"strict","first_valid"
"GA04","group","Mexico","Korea Republic",1.4085,1.2545,0.4081,0.2517,0.3402,NA,NA,0.4796,0.4836,"1-1","2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive","741204959608e80084183178faeb490ddbc8c5cc","2026-06-17T10:29:15+02:00","2026-06-17T10:29:15+02:00","f32a591ca253d74ad5deadcee980851976b546c3","outputs/dashboard/worldcup_prematch_forecasts.csv","85a4961b66bef2a3cafa49bb8cdd442b9c2575f6","919fe60ad775788969fd679e550a8ff49baf44fd","1e671ec372e0c71281e81ef7708f8c88551e1234","248fc586a6612d687368505db0e368f51a1ede5f","7abb748fbc63e60abc7eedb24bda56a859a4d10c","2026-06-17T07:39:04Z","fa36f09f4c262afbf77eb9c3e734275468a1cc6928d7527c594593c0f2542949","2026-06-19T01:00Z","Mexico","Korea Republic","group","Group A",1,0,"Mexico",TRUE,TRUE,TRUE,"",NA,"verified",TRUE,FALSE,"strict","first_valid"
"GA05","group","Czech Republic","Mexico",1.0561,1.672,0.2592,0.2406,0.5002,NA,NA,0.4918,0.4752,"0-1","2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive","741204959608e80084183178faeb490ddbc8c5cc","2026-06-17T10:29:15+02:00","2026-06-17T10:29:15+02:00","f32a591ca253d74ad5deadcee980851976b546c3","outputs/dashboard/worldcup_prematch_forecasts.csv","85a4961b66bef2a3cafa49bb8cdd442b9c2575f6","919fe60ad775788969fd679e550a8ff49baf44fd","1e671ec372e0c71281e81ef7708f8c88551e1234","248fc586a6612d687368505db0e368f51a1ede5f","7abb748fbc63e60abc7eedb24bda56a859a4d10c","2026-06-17T07:39:04Z","67cc32bf2ca1815e16a1c04420fe16412923c8615ef053b0b248879a3892f898","2026-06-25T01:00Z","Czech Republic","Mexico","group","Group A",0,3,"Mexico",TRUE,TRUE,TRUE,"",NA,"verified",TRUE,FALSE,"strict","first_valid"
"GA06","group","South Africa","Korea Republic",1.0513,1.6794,0.2571,0.2401,0.5028,NA,NA,0.4923,0.4748,"0-1","2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive","741204959608e80084183178faeb490ddbc8c5cc","2026-06-17T10:29:15+02:00","2026-06-17T10:29:15+02:00","f32a591ca253d74ad5deadcee980851976b546c3","outputs/dashboard/worldcup_prematch_forecasts.csv","85a4961b66bef2a3cafa49bb8cdd442b9c2575f6","919fe60ad775788969fd679e550a8ff49baf44fd","1e671ec372e0c71281e81ef7708f8c88551e1234","248fc586a6612d687368505db0e368f51a1ede5f","7abb748fbc63e60abc7eedb24bda56a859a4d10c","2026-06-17T07:39:04Z","a112bf381d7ef3c39c4b2071a828d827d78c2e5b9ed49757ffb3cc2f441bced7","2026-06-25T01:00Z","South Africa","Korea Republic","group","Group A",1,0,"South Africa",TRUE,TRUE,TRUE,"",NA,"verified",TRUE,FALSE,"strict","first_valid"
"GB03","group","Switzerland","Bosnia and Herzegovina",1.91721771908681,0.920659887972144,0.584764850680926,0.219481683257153,0.195753466061921,NA,NA,0.516065239213626,0.462697070179389,"1-0","2026-06-17 10:47:40.048038","2026-06-16","2026-06-17","dashboard_archive","2be8fd292dda3918b17851e1d95560495209e053","2026-06-17T10:58:58+02:00","2026-06-17T10:58:58+02:00","f3f91f4bac2c668bbfae9994924258d062be6459","outputs/dashboard/worldcup_prematch_forecasts.csv","9dfa957f68362c0bf919c3c14ad2de9dbe139d63","334265c6492a15d958292bcd5aefd1e2af95c8f5","1e671ec372e0c71281e81ef7708f8c88551e1234","248fc586a6612d687368505db0e368f51a1ede5f","7abb748fbc63e60abc7eedb24bda56a859a4d10c","2026-06-17T08:47:40Z","cd4452a5ab020c6c17db54ab65db3cf6ecb755fe533595c0db794cc17ebbd0e1","2026-06-18T19:00Z","Switzerland","Bosnia and Herzegovina","group","Group B",4,1,"Switzerland",TRUE,TRUE,TRUE,"",NA,"verified",TRUE,FALSE,"strict","first_valid"
"GB04","group","Canada","Qatar",1.9591,0.9041,0.5963,0.2158,0.1879,NA,NA,0.5212,0.4611,"1-0","2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive","741204959608e80084183178faeb490ddbc8c5cc","2026-06-17T10:29:15+02:00","2026-06-17T10:29:15+02:00","f32a591ca253d74ad5deadcee980851976b546c3","outputs/dashboard/worldcup_prematch_forecasts.csv","85a4961b66bef2a3cafa49bb8cdd442b9c2575f6","919fe60ad775788969fd679e550a8ff49baf44fd","1e671ec372e0c71281e81ef7708f8c88551e1234","248fc586a6612d687368505db0e368f51a1ede5f","7abb748fbc63e60abc7eedb24bda56a859a4d10c","2026-06-17T07:39:04Z","5e6e3a6a47c879fe6242ec7c2403c17181bdda04ce4a967898896aa125934305","2026-06-18T22:00Z","Canada","Qatar","group","Group B",6,0,"Canada",TRUE,TRUE,TRUE,"",NA,"verified",TRUE,FALSE,"strict","first_valid"
"GB05","group","Switzerland","Canada",1.3509,1.3076,0.385,0.2526,0.3624,NA,NA,0.4785,0.484,"1-1","2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive","741204959608e80084183178faeb490ddbc8c5cc","2026-06-17T10:29:15+02:00","2026-06-17T10:29:15+02:00","f32a591ca253d74ad5deadcee980851976b546c3","outputs/dashboard/worldcup_prematch_forecasts.csv","85a4961b66bef2a3cafa49bb8cdd442b9c2575f6","919fe60ad775788969fd679e550a8ff49baf44fd","1e671ec372e0c71281e81ef7708f8c88551e1234","248fc586a6612d687368505db0e368f51a1ede5f","7abb748fbc63e60abc7eedb24bda56a859a4d10c","2026-06-17T07:39:04Z","0c2d455b7c1d4c86b5a7d56896f8ec1f5033ac51f236463a4864259e223dde2f","2026-06-24T19:00Z","Switzerland","Canada","group","Group B",2,1,"Switzerland",TRUE,TRUE,TRUE,"",NA,"verified",TRUE,FALSE,"strict","first_valid"
"GB06","group","Bosnia and Herzegovina","Qatar",1.3797,1.2832,0.3961,0.2521,0.3518,NA,NA,0.4795,0.4844,"1-1","2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive","741204959608e80084183178faeb490ddbc8c5cc","2026-06-17T10:29:15+02:00","2026-06-17T10:29:15+02:00","f32a591ca253d74ad5deadcee980851976b546c3","outputs/dashboard/worldcup_prematch_forecasts.csv","85a4961b66bef2a3cafa49bb8cdd442b9c2575f6","919fe60ad775788969fd679e550a8ff49baf44fd","1e671ec372e0c71281e81ef7708f8c88551e1234","248fc586a6612d687368505db0e368f51a1ede5f","7abb748fbc63e60abc7eedb24bda56a859a4d10c","2026-06-17T07:39:04Z","05ecee8f8a549324adfb62a50575403760944618a0086726a4543329e8b08df7","2026-06-24T19:00Z","Bosnia and Herzegovina","Qatar","group","Group B",3,1,"Bosnia and Herzegovina",TRUE,TRUE,TRUE,"",NA,"verified",TRUE,FALSE,"strict","first_valid"
"GC03","group","Scotland","Morocco",0.882,1.9991,0.1834,0.2152,0.6014,NA,NA,0.5213,0.4568,"0-1","2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive","741204959608e80084183178faeb490ddbc8c5cc","2026-06-17T10:29:15+02:00","2026-06-17T10:29:15+02:00","f32a591ca253d74ad5deadcee980851976b546c3","outputs/dashboard/worldcup_prematch_forecasts.csv","85a4961b66bef2a3cafa49bb8cdd442b9c2575f6","919fe60ad775788969fd679e550a8ff49baf44fd","1e671ec372e0c71281e81ef7708f8c88551e1234","248fc586a6612d687368505db0e368f51a1ede5f","7abb748fbc63e60abc7eedb24bda56a859a4d10c","2026-06-17T07:39:04Z","8a52f8601142738fbab50e69efd5f0b4cf9ffd474beed724e928479b6e135da3","2026-06-19T22:00Z","Scotland","Morocco","group","Group C",0,1,"Morocco",TRUE,TRUE,TRUE,"",NA,"verified",TRUE,FALSE,"strict","first_valid"
"GC04","group","Brazil","Haiti",2.1757,0.8159,0.6539,0.1961,0.15,NA,NA,0.5461,0.4479,"1-0","2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive","741204959608e80084183178faeb490ddbc8c5cc","2026-06-17T10:29:15+02:00","2026-06-17T10:29:15+02:00","f32a591ca253d74ad5deadcee980851976b546c3","outputs/dashboard/worldcup_prematch_forecasts.csv","85a4961b66bef2a3cafa49bb8cdd442b9c2575f6","919fe60ad775788969fd679e550a8ff49baf44fd","1e671ec372e0c71281e81ef7708f8c88551e1234","248fc586a6612d687368505db0e368f51a1ede5f","7abb748fbc63e60abc7eedb24bda56a859a4d10c","2026-06-17T07:39:04Z","a3512d68aa92bb4d3ed38f774b69c14dd1c6cdf5222b64e02439768e988d88f3","2026-06-20T00:30Z","Brazil","Haiti","group","Group C",3,0,"Brazil",TRUE,TRUE,TRUE,"",NA,"verified",TRUE,FALSE,"strict","first_valid"
