"home_goals","away_goals","scoreline","outcome","count","probability"
0,0,"0-0","draw",9698,0.19396
1,0,"1-0","home_win",6041,0.12082
0,1,"0-1","away_win",4628,0.09256
2,0,"2-0","home_win",3879,0.07758
1,1,"1-1","draw",2868,0.05736
3,0,"3-0","home_win",2501,0.05002
0,2,"0-2","away_win",2213,0.04426
2,1,"2-1","home_win",1824,0.03648
4,0,"4-0","home_win",1535,0.0307
1,2,"1-2","away_win",1386,0.02772
3,1,"3-1","home_win",1170,0.0234
0,3,"0-3","away_win",1055,0.0211
5,0,"5-0","home_win",1013,0.02026
2,2,"2-2","draw",833,0.01666
4,1,"4-1","home_win",689,0.01378
1,3,"1-3","away_win",683,0.01366
6,0,"6-0","home_win",578,0.01156
3,2,"3-2","home_win",518,0.01036
0,4,"0-4","away_win",506,0.01012
5,1,"5-1","home_win",450,0.009
2,3,"2-3","away_win",387,0.00774
7,0,"7-0","home_win",371,0.00742
4,2,"4-2","home_win",354,0.00708
1,4,"1-4","away_win",309,0.00618
6,1,"6-1","home_win",276,0.00552
3,3,"3-3","draw",270,0.0054
8,0,"8-0","home_win",261,0.00522
5,2,"5-2","home_win",246,0.00492
0,5,"0-5","away_win",203,0.00406
7,1,"7-1","home_win",192,0.00384
2,4,"2-4","away_win",187,0.00374
4,3,"4-3","home_win",168,0.00336
1,5,"1-5","away_win",160,0.0032
9,0,"9-0","home_win",155,0.0031
3,4,"3-4","away_win",131,0.00262
6,2,"6-2","home_win",123,0.00246
2,5,"2-5","away_win",113,0.00226
10,0,"10-0","home_win",112,0.00224
0,6,"0-6","away_win",111,0.00222
8,1,"8-1","home_win",110,0.0022
7,2,"7-2","home_win",90,0.0018
5,3,"5-3","home_win",84,0.00168
9,1,"9-1","home_win",72,0.00144
4,4,"4-4","draw",69,0.00138
8,2,"8-2","home_win",67,0.00134
3,5,"3-5","away_win",65,0.0013
6,3,"6-3","home_win",65,0.0013
11,0,"11-0","home_win",57,0.00114
5,4,"5-4","home_win",53,0.00106
0,7,"0-7","away_win",48,0.00096
2,6,"2-6","away_win",46,0.00092
8,3,"8-3","home_win",43,0.00086
10,1,"10-1","home_win",43,0.00086
12,0,"12-0","home_win",42,0.00084
6,4,"6-4","home_win",39,0.00078
1,6,"1-6","away_win",37,0.00074
7,3,"7-3","home_win",37,0.00074
4,5,"4-5","away_win",35,7e-04
2,7,"2-7","away_win",34,0.00068
5,5,"5-5","draw",34,0.00068
1,7,"1-7","away_win",33,0.00066
13,0,"13-0","home_win",32,0.00064
11,1,"11-1","home_win",30,6e-04
3,6,"3-6","away_win",29,0.00058
9,2,"9-2","home_win",29,0.00058
0,8,"0-8","away_win",27,0.00054
12,1,"12-1","home_win",21,0.00042
10,2,"10-2","home_win",20,4e-04
1,8,"1-8","away_win",16,0.00032
5,6,"5-6","away_win",15,3e-04
11,2,"11-2","home_win",15,3e-04
15,0,"15-0","home_win",15,3e-04
3,7,"3-7","away_win",14,0.00028
7,4,"7-4","home_win",14,0.00028
6,5,"6-5","home_win",13,0.00026
9,4,"9-4","home_win",13,0.00026
4,6,"4-6","away_win",12,0.00024
14,1,"14-1","home_win",12,0.00024
7,5,"7-5","home_win",11,0.00022
10,3,"10-3","home_win",11,0.00022
14,0,"14-0","home_win",11,0.00022
8,4,"8-4","home_win",10,2e-04
9,3,"9-3","home_win",10,2e-04
13,1,"13-1","home_win",10,2e-04
0,9,"0-9","away_win",9,0.00018
3,8,"3-8","away_win",9,0.00018
3,9,"3-9","away_win",9,0.00018
1,9,"1-9","away_win",8,0.00016
4,7,"4-7","away_win",8,0.00016
6,6,"6-6","draw",8,0.00016
12,2,"12-2","home_win",8,0.00016
2,9,"2-9","away_win",7,0.00014
8,5,"8-5","home_win",7,0.00014
12,3,"12-3","home_win",7,0.00014
16,0,"16-0","home_win",7,0.00014
2,8,"2-8","away_win",6,0.00012
1,10,"1-10","away_win",6,0.00012
8,6,"8-6","home_win",6,0.00012
7,6,"7-6","home_win",5,1e-04
13,2,"13-2","home_win",5,1e-04
7,7,"7-7","draw",4,8e-05
11,3,"11-3","home_win",4,8e-05
10,5,"10-5","home_win",4,8e-05
15,1,"15-1","home_win",4,8e-05
2,10,"2-10","away_win",3,6e-05
5,8,"5-8","away_win",3,6e-05
9,5,"9-5","home_win",3,6e-05
15,2,"15-2","home_win",3,6e-05
17,0,"17-0","home_win",3,6e-05
17,1,"17-1","home_win",3,6e-05
19,0,"19-0","home_win",3,6e-05
0,10,"0-10","away_win",2,4e-05
0,11,"0-11","away_win",2,4e-05
4,8,"4-8","away_win",2,4e-05
5,7,"5-7","away_win",2,4e-05
1,12,"1-12","away_win",2,4e-05
2,11,"2-11","away_win",2,4e-05
3,10,"3-10","away_win",2,4e-05
6,7,"6-7","away_win",2,4e-05
4,10,"4-10","away_win",2,4e-05
4,11,"4-11","away_win",2,4e-05
14,2,"14-2","home_win",2,4e-05
12,5,"12-5","home_win",2,4e-05
13,5,"13-5","home_win",2,4e-05
14,4,"14-4","home_win",2,4e-05
18,0,"18-0","home_win",2,4e-05
0,12,"0-12","away_win",1,2e-05
4,9,"4-9","away_win",1,2e-05
3,11,"3-11","away_win",1,2e-05
6,8,"6-8","away_win",1,2e-05
10,4,"10-4","home_win",1,2e-05
0,15,"0-15","away_win",1,2e-05
5,10,"5-10","away_win",1,2e-05
8,7,"8-7","home_win",1,2e-05
11,4,"11-4","home_win",1,2e-05
6,10,"6-10","away_win",1,2e-05
8,8,"8-8","draw",1,2e-05
9,7,"9-7","home_win",1,2e-05
11,5,"11-5","home_win",1,2e-05
13,3,"13-3","home_win",1,2e-05
8,9,"8-9","away_win",1,2e-05
10,7,"10-7","home_win",1,2e-05
11,6,"11-6","home_win",1,2e-05
13,4,"13-4","home_win",1,2e-05
14,3,"14-3","home_win",1,2e-05
16,1,"16-1","home_win",1,2e-05
12,7,"12-7","home_win",1,2e-05
14,5,"14-5","home_win",1,2e-05
16,3,"16-3","home_win",1,2e-05
17,2,"17-2","home_win",1,2e-05
18,2,"18-2","home_win",1,2e-05
20,0,"20-0","home_win",1,2e-05
19,2,"19-2","home_win",1,2e-05
20,1,"20-1","home_win",1,2e-05
