"home_goals","away_goals","scoreline","outcome","count","probability"
0,0,"0-0","draw",9761,0.19522
1,0,"1-0","home_win",5875,0.1175
0,1,"0-1","away_win",4762,0.09524
2,0,"2-0","home_win",3792,0.07584
1,1,"1-1","draw",2973,0.05946
0,2,"0-2","away_win",2340,0.0468
3,0,"3-0","home_win",2261,0.04522
2,1,"2-1","home_win",1808,0.03616
1,2,"1-2","away_win",1441,0.02882
4,0,"4-0","home_win",1404,0.02808
0,3,"0-3","away_win",1178,0.02356
3,1,"3-1","home_win",1106,0.02212
5,0,"5-0","home_win",890,0.0178
2,2,"2-2","draw",878,0.01756
1,3,"1-3","away_win",723,0.01446
4,1,"4-1","home_win",717,0.01434
3,2,"3-2","home_win",558,0.01116
0,4,"0-4","away_win",552,0.01104
6,0,"6-0","home_win",523,0.01046
5,1,"5-1","home_win",436,0.00872
2,3,"2-3","away_win",402,0.00804
4,2,"4-2","home_win",377,0.00754
1,4,"1-4","away_win",367,0.00734
7,0,"7-0","home_win",332,0.00664
0,5,"0-5","away_win",295,0.0059
3,3,"3-3","draw",260,0.0052
6,1,"6-1","home_win",238,0.00476
2,4,"2-4","away_win",219,0.00438
5,2,"5-2","home_win",214,0.00428
8,0,"8-0","home_win",200,0.004
1,5,"1-5","away_win",190,0.0038
4,3,"4-3","home_win",160,0.0032
7,1,"7-1","home_win",153,0.00306
0,6,"0-6","away_win",138,0.00276
6,2,"6-2","home_win",137,0.00274
3,4,"3-4","away_win",120,0.0024
8,1,"8-1","home_win",108,0.00216
9,0,"9-0","home_win",107,0.00214
2,5,"2-5","away_win",103,0.00206
4,4,"4-4","draw",88,0.00176
5,3,"5-3","home_win",85,0.0017
10,0,"10-0","home_win",84,0.00168
1,6,"1-6","away_win",78,0.00156
7,2,"7-2","home_win",75,0.0015
0,7,"0-7","away_win",74,0.00148
3,5,"3-5","away_win",71,0.00142
6,3,"6-3","home_win",65,0.0013
9,1,"9-1","home_win",58,0.00116
2,6,"2-6","away_win",57,0.00114
1,7,"1-7","away_win",55,0.0011
5,4,"5-4","home_win",52,0.00104
