"home_goals","away_goals","scoreline","outcome","count","probability"
0,0,"0-0","draw",8956,0.17912
1,0,"1-0","home_win",6089,0.12178
2,0,"2-0","home_win",4402,0.08804
0,1,"0-1","away_win",3875,0.0775
3,0,"3-0","home_win",2932,0.05864
1,1,"1-1","draw",2599,0.05198
4,0,"4-0","home_win",1965,0.0393
2,1,"2-1","home_win",1842,0.03684
0,2,"0-2","away_win",1582,0.03164
5,0,"5-0","home_win",1426,0.02852
3,1,"3-1","home_win",1185,0.0237
1,2,"1-2","away_win",1151,0.02302
6,0,"6-0","home_win",931,0.01862
4,1,"4-1","home_win",814,0.01628
2,2,"2-2","draw",777,0.01554
0,3,"0-3","away_win",725,0.0145
5,1,"5-1","home_win",590,0.0118
7,0,"7-0","home_win",587,0.01174
3,2,"3-2","home_win",527,0.01054
1,3,"1-3","away_win",462,0.00924
8,0,"8-0","home_win",444,0.00888
6,1,"6-1","home_win",396,0.00792
4,2,"4-2","home_win",367,0.00734
2,3,"2-3","away_win",320,0.0064
0,4,"0-4","away_win",305,0.0061
7,1,"7-1","home_win",296,0.00592
9,0,"9-0","home_win",286,0.00572
5,2,"5-2","home_win",255,0.0051
3,3,"3-3","draw",236,0.00472
1,4,"1-4","away_win",210,0.0042
10,0,"10-0","home_win",209,0.00418
8,1,"8-1","home_win",190,0.0038
6,2,"6-2","home_win",166,0.00332
4,3,"4-3","home_win",156,0.00312
2,4,"2-4","away_win",148,0.00296
9,1,"9-1","home_win",146,0.00292
0,5,"0-5","away_win",144,0.00288
11,0,"11-0","home_win",130,0.0026
7,2,"7-2","home_win",112,0.00224
5,3,"5-3","home_win",96,0.00192
1,5,"1-5","away_win",89,0.00178
8,2,"8-2","home_win",89,0.00178
10,1,"10-1","home_win",89,0.00178
12,0,"12-0","home_win",85,0.0017
2,5,"2-5","away_win",74,0.00148
6,3,"6-3","home_win",71,0.00142
3,4,"3-4","away_win",70,0.0014
4,4,"4-4","draw",68,0.00136
13,0,"13-0","home_win",67,0.00134
0,6,"0-6","away_win",61,0.00122
9,2,"9-2","home_win",59,0.00118
3,5,"3-5","away_win",56,0.00112
11,1,"11-1","home_win",56,0.00112
7,3,"7-3","home_win",51,0.00102
1,6,"1-6","away_win",49,0.00098
15,0,"15-0","home_win",41,0.00082
12,1,"12-1","home_win",40,8e-04
8,3,"8-3","home_win",39,0.00078
10,2,"10-2","home_win",38,0.00076
5,4,"5-4","home_win",37,0.00074
14,0,"14-0","home_win",37,0.00074
6,4,"6-4","home_win",32,0.00064
4,5,"4-5","away_win",29,0.00058
13,1,"13-1","home_win",28,0.00056
11,2,"11-2","home_win",27,0.00054
2,6,"2-6","away_win",26,0.00052
7,4,"7-4","home_win",24,0.00048
9,3,"9-3","home_win",23,0.00046
0,7,"0-7","away_win",21,0.00042
10,3,"10-3","home_win",19,0.00038
15,1,"15-1","home_win",19,0.00038
16,0,"16-0","home_win",19,0.00038
14,1,"14-1","home_win",18,0.00036
5,5,"5-5","draw",17,0.00034
12,2,"12-2","home_win",17,0.00034
17,0,"17-0","home_win",17,0.00034
8,4,"8-4","home_win",15,3e-04
2,7,"2-7","away_win",14,0.00028
3,6,"3-6","away_win",14,0.00028
1,7,"1-7","away_win",13,0.00026
16,1,"16-1","home_win",13,0.00026
0,8,"0-8","away_win",12,0.00024
6,5,"6-5","home_win",11,0.00022
11,3,"11-3","home_win",11,0.00022
18,0,"18-0","home_win",10,2e-04
0,9,"0-9","away_win",9,0.00018
1,8,"1-8","away_win",9,0.00018
7,5,"7-5","home_win",9,0.00018
12,3,"12-3","home_win",9,0.00018
13,2,"13-2","home_win",9,0.00018
5,6,"5-6","away_win",8,0.00016
9,4,"9-4","home_win",8,0.00016
14,2,"14-2","home_win",8,0.00016
4,6,"4-6","away_win",7,0.00014
10,4,"10-4","home_win",7,0.00014
15,2,"15-2","home_win",7,0.00014
19,0,"19-0","home_win",7,0.00014
3,7,"3-7","away_win",6,0.00012
4,7,"4-7","away_win",6,0.00012
6,6,"6-6","draw",6,0.00012
13,3,"13-3","home_win",6,0.00012
17,1,"17-1","home_win",6,0.00012
20,0,"20-0","home_win",6,0.00012
12,4,"12-4","home_win",5,1e-04
14,3,"14-3","home_win",5,1e-04
2,8,"2-8","away_win",4,8e-05
7,6,"7-6","home_win",4,8e-05
8,5,"8-5","home_win",4,8e-05
11,4,"11-4","home_win",4,8e-05
13,4,"13-4","home_win",4,8e-05
16,2,"16-2","home_win",4,8e-05
17,2,"17-2","home_win",4,8e-05
19,1,"19-1","home_win",4,8e-05
0,10,"0-10","away_win",3,6e-05
1,10,"1-10","away_win",3,6e-05
3,8,"3-8","away_win",3,6e-05
6,7,"6-7","away_win",3,6e-05
16,3,"16-3","home_win",3,6e-05
18,1,"18-1","home_win",3,6e-05
19,2,"19-2","home_win",3,6e-05
18,4,"18-4","home_win",3,6e-05
20,2,"20-2","home_win",3,6e-05
5,7,"5-7","away_win",2,4e-05
5,8,"5-8","away_win",2,4e-05
2,12,"2-12","away_win",2,4e-05
7,7,"7-7","draw",2,4e-05
8,6,"8-6","home_win",2,4e-05
9,5,"9-5","home_win",2,4e-05
10,5,"10-5","home_win",2,4e-05
14,5,"14-5","home_win",2,4e-05
16,4,"16-4","home_win",2,4e-05
18,2,"18-2","home_win",2,4e-05
21,2,"21-2","home_win",2,4e-05
23,0,"23-0","home_win",2,4e-05
1,9,"1-9","away_win",1,2e-05
2,9,"2-9","away_win",1,2e-05
1,11,"1-11","away_win",1,2e-05
2,10,"2-10","away_win",1,2e-05
3,10,"3-10","away_win",1,2e-05
4,9,"4-9","away_win",1,2e-05
5,9,"5-9","away_win",1,2e-05
6,8,"6-8","away_win",1,2e-05
9,7,"9-7","home_win",1,2e-05
10,6,"10-6","home_win",1,2e-05
11,5,"11-5","home_win",1,2e-05
12,5,"12-5","home_win",1,2e-05
9,9,"9-9","draw",1,2e-05
12,6,"12-6","home_win",1,2e-05
15,3,"15-3","home_win",1,2e-05
3,16,"3-16","away_win",1,2e-05
13,6,"13-6","home_win",1,2e-05
18,3,"18-3","home_win",1,2e-05
21,1,"21-1","home_win",1,2e-05
22,0,"22-0","home_win",1,2e-05
15,8,"15-8","home_win",1,2e-05
16,7,"16-7","home_win",1,2e-05
19,4,"19-4","home_win",1,2e-05
22,1,"22-1","home_win",1,2e-05
23,1,"23-1","home_win",1,2e-05
24,0,"24-0","home_win",1,2e-05
16,9,"16-9","home_win",1,2e-05
25,1,"25-1","home_win",1,2e-05
26,1,"26-1","home_win",1,2e-05
29,0,"29-0","home_win",1,2e-05
